line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
968,PRESIDENT OBAMA,You were very clear that you would not provide government assistance to the U.S. auto companies even if they went through bankruptcy.,"President Obama Said former Massachusetts Gov. Mitt Romney was clear that he ""would not provide government assistance to the U.S. auto companies, even if they went through bankruptcy.""","Says Mitt Romney was clear that he ""would not provide government assistance to the U.S. auto companies, even if they went through bankruptcy.""",Obama says Romney opposed any government help to rescue carmakers,Mostly False,https://www.politifact.com/truth-o-meter/statements/2012/oct/23/barack-obama/obama-says-romney-opposed-any-government-help-resc/,
994,MR. ROMNEY,"The policies of the last four years have seen incomes in America decline every year for middle-income families, now down $4,300 during your term, 23 million Americans still struggling to find a good job.","Mitt Romney Under President Barack Obama, middle-income American families have seen their incomes decline by 4,300 a year.","Under Obama, families have lost over 4,000 a year in income.",Romney ad faults Obama for falling incomes,Half-True,https://www.politifact.com/truth-o-meter/statements/2012/sep/19/mitt-romney/romney-ad-faults-obama-falling-incomes/,
762,PRESIDENT OBAMA,"And as a consequence, veterans' unemployment is actually now lower than general population, it was higher when I came into office.","President Obama ""Veterans unemployment is actually now lower than the general population. It was higher when I came into office.""",Veterans unemployment is actually now lower than the general population. It was higher when I came into office.,Barack Obama touts his record on improving employment for veterans,Half-True,https://www.politifact.com/truth-o-meter/statements/2012/oct/23/barack-obama/barack-obama-touts-his-record-improving-employment/,
482,MR. ROMNEY,"I went to the Olympics that was out of balance, and we got it on balance and made a success there.","Mitt Romney ""I went to the Olympics that was out of balance, and we got it on balance.""","I went to the Olympics that was out of balance, and we got it on balance.",Mitt Romney says he balanced the budget of the Salt Lake City Olympics,Mostly True,https://www.politifact.com/truth-o-meter/statements/2012/oct/22/mitt-romney/mitt-romney-says-he-balanced-budget-salt-lake-city/,
618,MR. ROMNEY,And I think that when the president said he was going to create daylight between ourselves and Israel that — that they noticed that as well.,"Mitt Romney ""The president said he was going to create daylight between ourselves and Israel.""",The president said he was going to create daylight between ourselves and Israel.,Romney says Obama wants daylight in U.S.-Israel relationship,Mostly True,https://www.politifact.com/truth-o-meter/statements/2012/oct/22/mitt-romney/romney-says-obama-wants-daylight-us-israel-relatio/,
97,PRESIDENT OBAMA,"Governor Romney, I'm glad that you recognize that al-Qaida's a threat because a few months ago when you were asked, what's the biggest geopolitical threat facing America, you said Russia — not al-Qaida, you said Russia.",President Obama Said Romney called Russia our No. 1 enemy.,"A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.",Obama Romney called Russia our top geopolitical thre,Half-True,https://www.politifact.com/truth-o-meter/statements/2012/oct/22/barack-obama/obama-romney-called-russia-our-top-geopolitical-fo/,
468,PRESIDENT OBAMA,"But what you can't do is spend $2 trillion in additional military spending that the military is not asking for, $5 trillion on tax cuts, you say that you're going to pay for it by closing loopholes and deductions without naming what those loopholes and deductions are, and then somehow you're also going to deal with the deficit that we've already got.",President Obama Said Romney wants to add 2 trillion to the defense budget that the military hasnt asked for.,Says Mitt Romney wants to add 2 trillion to defense budget that the military hasnt asked for.,Obama says Romney would spend 2 trillion that the military hasn't asked for,TRUE,https://www.politifact.com/truth-o-meter/statements/2012/oct/05/barack-obama/obama-says-romney-would-spend-2-trilllion-military/,
614,MR. ROMNEY,And then the president began what I've called an apology tour of going to — to various nations in the Middle East and — and criticizing America.,"Mitt Romney Said Barack Obama began his presidency ""with an apology tour.""","Says Barack Obama began his presidency ""with an apology tour.""","Mitt Romney says Barack Obama began his presidency ""with an apology tour""",Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2012/oct/17/mitt-romney/mitt-romney-says-barack-obama-began/,
693,PRESIDENT OBAMA,"But when you were a candidate in 2008 — as I was — and I said, if I got bin Laden in our sights, I would take that shot, you said we shouldn't move heaven and earth to get one man, and you said we should ask Pakistan for permission.","President Obama Said Romneys comments indicated he would ""not move heaven and earth"" to get Osama bin Laden.",Says Mitt Romney's comments indicated he would not have pursued Osama bin Laden.,Obama ad says Mitt Romney's view on killing bin Laden was 'it's not worth moving heaven and earth',Half-True,https://www.politifact.com/truth-o-meter/statements/2012/apr/30/barack-obama/obama-ad-says-mitt-romneys-view-killing-bin-laden/,
893,PRESIDENT OBAMA,"You are familiar with jobs being shipped overseas, because you invested in companies that were shipping jobs overseas.",President Obama Said Mitt Romney invested in companies that were pioneers of outsourcing,Mitt Romney's companies were pioneers in outsourcing U.S. jobs to low-wage countries.,Were Romney's companies 'pioneers in outsourcing' ?,Half-True,https://www.politifact.com/truth-o-meter/statements/2012/jul/13/barack-obama/were-romneys-companies-pioneers-outsourcing/,
