line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
104,SANDERS,African-American youth unemployment is 51 percent.,Minority youth unemployment,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"In debate, Bernie Sanders says African-American youth unemployment is 51, and 36 for Hispanics",Half-True,https://www.politifact.com/truth-o-meter/statements/2015/oct/13/bernie-s/debate-bernie-sanders-says-african-american-youth-/,
105,SANDERS,Hispanic youth unemployment is 36 percent.,Minority youth unemployment,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"In debate, Bernie Sanders says African-American youth unemployment is 51, and 36 for Hispanics",Half-True,https://www.politifact.com/truth-o-meter/statements/2015/oct/13/bernie-s/debate-bernie-sanders-says-african-american-youth-/,
163,CLINTON,"I did say, when I was secretary of state, three years ago, that I hoped it would be the gold standard.","Clintons Trans-Pacific Partnership ""gold standard""",On the Trans-Pacific Partnership.,Hillary Clinton flip-flops on Trans-Pacific Partnership,Full Flop,https://www.politifact.com/truth-o-meter/statements/2015/oct/08/hillary-clinton/hillary-clinton-now-opposes-trans-pacific-partners/,
163,CLINTON,"I did say, when I was secretary of state, three years ago, that I hoped it would be the gold standard.","Clintons Trans-Pacific Partnership ""gold standard""","Says as secretary of state she was reserving judgment about the Trans-Pacific Partnership and ""hoped it would be the gold standard.""",What Hillary Clinton really said about TPP and the 'gold standard',Half-True,https://www.politifact.com/truth-o-meter/statements/2015/oct/13/hillary-clinton/what-hillary-clinton-really-said-about-tpp-and-gol/,
330,COOPER,"Senator Sanders, you voted against the Brady bill that mandated background checks and a waiting period.",Sanders and guns,Sen. Sanders did vote five times against the Brady bill.,Hillary Clinton Bernie Sanders voted against Brady bill five times,TRUE,https://www.politifact.com/truth-o-meter/statements/2015/oct/13/hillary-clinton/hillary-clinton-bernie-sanders-voted-against-brady/,
103,SANDERS,"Today in America, we have more people in jail than any other country on Earth.",Jailed in the USA,"Today in America, we have more people in jail than any other country on Earth.",Bernie Sanders The United States has 'more people in jail than any other country on Earth',Mostly True,https://www.politifact.com/truth-o-meter/statements/2015/oct/13/bernie-s/bernie-sanders-united-states-has-more-people-jail-/,
1084,CLINTON,I never took a position on Keystone until I took a position on Keystone.,Keystone flip-flop?,On the Keystone XL pipeline,Clinton says her Keystone XL position isn't a flip-flop,No Flip,https://www.politifact.com/truth-o-meter/statements/2015/oct/14/hillary-clinton/clinton-says-her-keystone-xl-position-isnt-flip-fl/,
199,SANDERS,"You see every other major country saying to moms that, when you have a baby, we're not gonna separate you from your newborn baby, because we are going to have — we are gonna have medical and family paid leave, like every other country on Earth.",Paid family leave,Every other major country has family paid leave.,Bernie Sanders says 'every other major country' has family paid leave except United States,Mostly True,https://www.politifact.com/truth-o-meter/statements/2015/oct/14/bernie-s/bernie-sanders-says-every-other-major-country-has-/,
1637,SANDERS,"We have a criminal justice system that lets CEOs on Wall Street walk away, and yet we are imprisoning or giving jail sentences to young people who are smoking marijuana.",Hazy chance of prison sentence for smoking pot,We are imprisoning or giving jail sentences to young people who are smoking marijuana.,Bernie Sanders says people are getting prison sentences for smoking marijuan,Mostly False,https://www.politifact.com/truth-o-meter/statements/2015/oct/14/bernie-s/bernie-sanders-says-people-are-getting-prison-sent/,
1364,CLINTON,He could have been a whistleblower.,Snowden's whistleblower status,"Says Edward Snowden ""could have gotten all of the protections of being a whistleblower.""","Hillary Clinton claims Edward Snowden had whistleblower protections, didn't use them",Mostly False,https://www.politifact.com/truth-o-meter/statements/2015/oct/14/hillary-clinton/clinton-says-nsa-leaker-snowden-failed-use-whistle/,
1365,CLINTON,He could have gotten all of the protections of being a whistleblower.,Snowden's whistleblower status,"Says Edward Snowden ""could have gotten all of the protections of being a whistleblower.""","Hillary Clinton claims Edward Snowden had whistleblower protections, didn't use them",Mostly False,https://www.politifact.com/truth-o-meter/statements/2015/oct/14/hillary-clinton/clinton-says-nsa-leaker-snowden-failed-use-whistle/,
