line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
1042,FIORINA,92 percent — 92 percent of the jobs lost during Barack Obama's first term belonged to women.,Carly Fiorina on women's joblosses,Women account for 92.3 percent of the jobs lost under Obama.,Romney campaign says women were hit hard by job losses under Obam,Mostly False,https://www.politifact.com/truth-o-meter/statements/2012/apr/10/mitt-romney/romney-campaign-says-women-were-hit-hard-job-losse/,
1042,FIORINA,92 percent — 92 percent of the jobs lost during Barack Obama's first term belonged to women.,Carly Fiorina on women's joblosses,92 percent of the jobs lost during Barack Obamas first term belonged to women.,rina levies out-of-date charge on women job losses under Obam,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/oct/29/carly-fiorina/fiorina-levies-out-date-charge-women-job-losses-un/,
144,CHRISTIE,"But I will — but I will tell you this, the socialist says they're going to pay for everything and give you everything for free, except they don't say they're going to raise it through taxes to 90 percent to do it.",Bernie Sanders tax plan,"Bernie Sanderss plan is ""to raise your taxes to 90 percent.""",Chris Christie says Bernie Sanderss plan is 'to raise your taxes to 90 percent',Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2015/oct/28/chris-christie/chris-christie-says-bernie-sanderss-plan-raise-you/,
415,RUBIO,"For the first time in 35 years, we have more businesses closing than starting.",Rubio on more businesses dying than closing,"For the first time in 35 years, we have more businesses closing than starting.",Rubio says more businesses are closing than opening for the first time in 35 years,Half-True,https://www.politifact.com/truth-o-meter/statements/2015/oct/28/marco-rubio/rubio-says-more-businesses-are-closing-opening-fir/,
955,RUBIO,"Well, you just — you just listed a litany of discredited attacks from Democrats and my political opponents, and I'm not gonna waste 60 seconds detailing them all.",Rubio on his finances,"Says a question about his financial skills at the CNBC debate included ""discredited attacks from Democrats and my political opponents.""","At debate, Rubio calls tally of financial mishaps a pack of 'discredited attacks'  PolitiFact Florid",FALSE,https://www.politifact.com/florida/statements/2015/oct/30/marco-rubio/debate-rubio-calls-tally-financial-mishaps-pack-di/,
1072,QUINTANILLA,"This is a company called Mannatech, a maker of nutritional supplements, with which you had a 10-year relationship.",Ben Carson on nutritional supplements,"Says he ""didnt have an involvement with""nutritional supplement company Mannatech.","At debate, Ben Carson says he has no connection to Mannatech",FALSE,https://www.politifact.com/truth-o-meter/statements/2015/oct/29/ben-carson/debate-ben-carson-says-he-has-no-connection-mannat/,
1073,QUINTANILLA,"They offered claims that they could cure autism, cancer, they paid $7 million to settle a deceptive marketing lawsuit in Texas, and yet you're involvement continued.",Ben Carson on nutritional supplements,"Says he ""didnt have an involvement with""nutritional supplement company Mannatech.","At debate, Ben Carson says he has no connection to Mannatech",FALSE,https://www.politifact.com/truth-o-meter/statements/2015/oct/29/ben-carson/debate-ben-carson-says-he-has-no-connection-mannat/,NOT SURE
1081,CARSON,It is absolutely absurd to say that I had any kind of a relationship with them.,Ben Carson on nutritional supplements,"Says he ""didnt have an involvement with""nutritional supplement company Mannatech.","At debate, Ben Carson says he has no connection to Mannatech",FALSE,https://www.politifact.com/truth-o-meter/statements/2015/oct/29/ben-carson/debate-ben-carson-says-he-has-no-connection-mannat/,NOT SURE
853,CARSON,"Well, the average small manufacturer, whatever they're manufacturing, drugs or anything, if they have less than 50 employees, the average cost in terms of regulations is $34,000 per employee.",Carson on the cost of regulation,"Among manufacturers with fewer than 50 employees, ""the average cost in terms of regulations is 34,000 per employee.""","At CNBC debate, Ben Carson cites high cost of regulations for small manufacturers",Half-True,https://www.politifact.com/truth-o-meter/statements/2015/oct/30/ben-carson/cnbc-debate-ben-carson-cites-high-cost-regulations/,
1033,CRUZ,"Not a one of them mentioned the fact that under Barack Obama and the big government economy, the median wage for women has dropped $733.",Ted Cruz on womens wages under Obama,"Under Barack Obama and the big government economy, the median wage for women has dropped 733.",Ted Cruz says median wage for women has dropped 733 under Obam,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/oct/29/ted-cruz/ted-cruz-says-median-wage-women-has-dropped-733-un/,
1171,QUICK,I think you called him Mark Zuckerberg's personal senator because he was in favor of the H1B.,Donald Trump on what he said about Mark Zuckerberg,I never said that Marco Rubio was Mark Zuckerbergs personal senator.,Donald Trump didn't realize his own website called Marco Rubio 'Mark Zuckerberg's personal senator',Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2015/oct/28/donald-trump/donald-trump-didnt-realize-his-own-website-called-/,
1637,BUSH,"In Florida, we have the lowest in-state tuition of any state, because there's accountability, just as John said.",Jeb Bush on Florida tuition,"In Florida, we have the lowest in-state tuition of any state.",Jeb Bush says that Florida has cheapest public college tuition  PolitiFact Florid,Mostly False,https://www.politifact.com/florida/statements/2015/oct/30/jeb-bush/jeb-bush-says-florida-has-cheapest-public-college-/,
