line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
182,CLINTON,"We have a lot of communities right now in our country where the level of toxins in the water, including lead, are way above what anybody should tolerate.",Lead poisoning not limited toFlint,We have a higher rate of tested lead in people in Cleveland than in Flint.,Hillary Clinton Cleveland has higher rates of lead poisoning than Flin,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/hillary-clinton/hillary-clinton-cleveland-has-higher-rates-lead-po/,
186,CLINTON,We have a higher rate of tested lead in people in Cleveland than in Flint.,Lead poisoning not limited toFlint,We have a higher rate of tested lead in people in Cleveland than in Flint.,Hillary Clinton Cleveland has higher rates of lead poisoning than Flin,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/hillary-clinton/hillary-clinton-cleveland-has-higher-rates-lead-po/,
132,SANDERS,"You are paying three times more for poison water than I am paying in Burlington, Vermont for clean water.",Debating water rates,"Flint, Mich., is paying three times more for poison water than I am paying in Burlington, Vt., for clean water.",Bernie Sanders has a point Water in Flint much more expensive than in Burlington,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/bernie-s/flint-residents-dont-pay-3-times-much-burlington-r/,
333,SANDERS,Secretary Clinton supported virtually every one of the disastrous trade agreements written by corporate America.,Sanders overshoots on NAFTA job losses,"NAFTA, supported by the Secretary Clinton, cost us 800,000 jobs nationwide.",Sanders overshoots on NAFTA job losses,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/bernie-s/sanders-overshoots-nafta-job-losses/,WEAK
337,SANDERS,"NAFTA, supported by the Secretary cost, us 800,000 jobs nationwide, tens of thousands of jobs in the Midwest.",Sanders overshoots on NAFTA job losses,"NAFTA, supported by the Secretary Clinton, cost us 800,000 jobs nationwide.",Sanders overshoots on NAFTA job losses,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/bernie-s/sanders-overshoots-nafta-job-losses/,
471,CLINTON,"And you know what, if you were going to be in some way distrusted or dismissed about whether you can take on Wall Street if you ever took money, President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.",Obama  Wall Street,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,Hillary Clinton Barack Obama set new Wall Street fundraising record when he first ran for presiden,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/hillary-clinton/hillary-clinton-barack-obama-set-new-wall-street-f/,
908,SANDERS,"So to answer your question, I would say, and I think it's similar to what the secretary said, when you're white, you don't know what it's like to be living in a ghetto.",Sanders on white Americans and poverty,When you're white ... you don't know what it's like to be poor.,"Bernie Sanders wrong to say, 'When you're white ... you don't know what it's like to be poor'",FALSE,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/bernie-s/bernie-sanders-wrong-say-when-youre-white-you-dont/,
909,SANDERS,You don't know what it's like to be poor.,Sanders on white Americans and poverty,When you're white ... you don't know what it's like to be poor.,"Bernie Sanders wrong to say, 'When you're white ... you don't know what it's like to be poor'",FALSE,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/bernie-s/bernie-sanders-wrong-say-when-youre-white-you-dont/,NOT SURE (CONTEXT)
362,CLINTON,He voted against the money that ended up saving the auto industry.,Sanders and the auto bailout,"Says Bernie Sanders ""was against the auto bailout"" and ""voted against the money that ended up saving the auto industry.""","In Michigan, Hillary Clinton says Bernie Sanders 'was against the auto bailout'",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/hillary-clinton/michigan-hillary-clinton-says-bernie-sanders-was-a/,
1334,SANDERS,"For a start, but almost — not all, but almost every poll has shown that Sanders versus Trump does a lot better than Clinton versus Trump.",Sanders on his electability vs. Trump,Almost all of the polls that have come out suggest that I am a much stronger candidate against the Republicans than is Hillary Clinton.,Bernie Sanders says he polls better against GOP candidates than Hillary Clinton,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/jan/26/bernie-s/bernie-sanders-says-he-polls-better-against-gop-ca/,
1334,SANDERS,"For a start, but almost — not all, but almost every poll has shown that Sanders versus Trump does a lot better than Clinton versus Trump.",Sanders on his electability vs. Trump,"When a Gallup poll asked about presidential candidate characteristics, ""When they get to the question on, 'Would you vote for a socialist,' it is even less popular than voting for atheists.""",Jennifer Granholm says Americans would rather elect an atheist than a socialist  Pund,TRUE,https://www.politifact.com/punditfact/statements/2016/jan/29/jennifer-granholm/jennifer-granholm-says-americans-would-rather-elec/,
1334,SANDERS,"For a start, but almost — not all, but almost every poll has shown that Sanders versus Trump does a lot better than Clinton versus Trump.",Sanders on his electability vs. Trump,"Almost every poll has shown that Sanders vs. Trump does a lot better than Clinton vs. Trump  and, thats true nationally.",Bernie Sanders says he consistently beats Donald Trump by bigger margins than Hillary Clinton does,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/mar/08/bernie-s/bernie-sanders-says-he-consistently-beats-donald-t/,
