line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
13,Hillary Clinton,"I have uh, not, uh, supported same sex marriage.",On same-sex marriage,On same-sex marriage.,Hillary Clintons changing position on same-sex marriage,Full Flop,https://www.politifact.com/truth-o-meter/statements/2015/jun/17/hillary-clinton/hillary-clinton-change-position-same-sex-marriage/,
15,Hillary Clinton,I support marriage for lesbian and gay couples.,On same-sex marriage,On same-sex marriage.,Hillary Clintons changing position on same-sex marriage,Full Flop,https://www.politifact.com/truth-o-meter/statements/2015/jun/17/hillary-clinton/hillary-clinton-change-position-same-sex-marriage/,
42,Hillary Clinton,"ON EMAIL SCANDAL Going through the emails, um, there were over 60,000 in total sent and received, about half were work related and went to the state department, um, and about half were personal, that were not in any way related to my work.",On her emails,"Its clear thatHillary Clinton""violated national security laws.""","Jack Graham says 'it's clear' Hillary Clinton 'violated national security laws,' but it's not clear  PolitiFact Colorad",FALSE,https://www.politifact.com/colorado/statements/2016/apr/08/Jack_Graham/jack-graham-says-its-clearhillary-clinton-violated/,
68,Hillary Clinton,"--I represented Wall Street as a senator from New York and I went to Wall Street in December of 2007 before the big crash that we had, and I basically said, ""Cut it out.",On Wall Street,"Says she ""called for addressing risks of derivatives, cracking down on subprime mortgages and improving financial oversight"" early on in the financial crisis.",Hillary Clinton says she called for Wall Street regulations early in the financial crisis,TRUE,https://www.politifact.com/truth-o-meter/statements/2015/jul/15/hillary-clinton/hillary-clinton-says-she-called-wall-street-regula/,
68,Hillary Clinton,"--I represented Wall Street as a senator from New York and I went to Wall Street in December of 2007 before the big crash that we had, and I basically said, ""Cut it out.",On Wall Street,"Says Hillary Clintons top 10 donors are mainly ""banks, corporations and media,"" while Bernie Sanders top 10 donors are labor unions.","Meme says Hillary Clinton's top donors are banks and corporations, Bernie Sanders' are labor unions",Mostly True,https://www.politifact.com/truth-o-meter/statements/2015/jul/07/facebook-posts/meme-says-hillary-clintons-top-donors-are-banks-an/,NOT SURE
92,Hillary Clinton,"I have looked at- I have looked at the legislation that Senator Sanders has proposed, and basically, he does eliminate the Affordable Care Act, eliminates private insurance, eliminates Medicare, eliminates Medicaid, Tricare, children's health insurance program... Just because Senator Obama chose not to present a universal healthcare plan does not give him the right to attack me because I did.",On universal healthcare,"Hillary Clinton ""has the only health care plan that covers every American.""",Clinton stands alone on health care mandate,TRUE,https://www.politifact.com/truth-o-meter/statements/2008/feb/13/hillary-clinton/clinton-stands-alone-on-health-care-mandate/,NOT SURE
92,Hillary Clinton,"I have looked at- I have looked at the legislation that Senator Sanders has proposed, and basically, he does eliminate the Affordable Care Act, eliminates private insurance, eliminates Medicare, eliminates Medicaid, Tricare, children's health insurance program... Just because Senator Obama chose not to present a universal healthcare plan does not give him the right to attack me because I did.",On universal healthcare,"Hillary Clinton ""has the only health care plan that covers every American.""",Clinton stands alone on health care mandate,TRUE,https://www.politifact.com/truth-o-meter/statements/2008/feb/13/hillary-clinton/clinton-stands-alone-on-health-care-mandate/,
92,Hillary Clinton,"I have looked at- I have looked at the legislation that Senator Sanders has proposed, and basically, he does eliminate the Affordable Care Act, eliminates private insurance, eliminates Medicare, eliminates Medicaid, Tricare, children's health insurance program... Just because Senator Obama chose not to present a universal healthcare plan does not give him the right to attack me because I did.",On universal healthcare,"Says Bernie Sanders health care plan would ""empower Republicangovernors to take away Medicaid,to take away health insurance for low-income and middle-income working Americans.""",Chelsea Clinton mischaracterizes Bernie Sanders' health care plan,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/jan/14/chelsea-clinton/chelsea-clinton-mischaracterizes-bernie-sanders-he/,
100,Hillary Clinton,"--Look, I made, I, you know, I uh, made uh, a mistake in- in describing it, (trailing off) --She claims she misspoke last week and was sleep deprived when she described landing under sniper fire in Tuzla, Bosnia, something that didn't happen.",On Bosnia visit,I remember landing under sniper fire.,"Video shows tarmac welcome, no snipers",Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2008/mar/25/hillary-clinton/video-shows-tarmac-welcome-no-snipers/,
3,Hillary Clinton,"You supported his trade deal dozens of times, you even called it the gold standard.",On NAFTA,"Clinton said ""great things about NAFTA until she started running for president.""",Clinton has changed on NAFTA,TRUE,https://www.politifact.com/truth-o-meter/statements/2008/feb/25/barack-obama/clinton-has-changed-on-nafta/,
3,Hillary Clinton,"You supported his trade deal dozens of times, you even called it the gold standard.",On NAFTA,On the Trans-Pacific Partnership.,Hillary Clinton flip-flops on Trans-Pacific Partnership,Full Flop,https://www.politifact.com/truth-o-meter/statements/2015/oct/08/hillary-clinton/hillary-clinton-now-opposes-trans-pacific-partners/,
