line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
22,TRUMP,"Hillary Clinton who, as most people know, is a world class liar –  just look at her pathetic email and server statements, or her phony landing in Bosnia where she said she was under attack but the attack turned out to be young girls handing her flowers, a total self-serving lie.",Just look at her pathetic email server statements ...,"It was allowed, referring to her email practices.",Fact-checking Hillary Clinton's claim that her email practices were 'allowed',FALSE,https://www.politifact.com/truth-o-meter/statements/2016/may/31/hillary-clinton/fact-checking-hillary-clintons-claim-her-email-pra/,
22,TRUMP,"Hillary Clinton who, as most people know, is a world class liar –  just look at her pathetic email and server statements, or her phony landing in Bosnia where she said she was under attack but the attack turned out to be young girls handing her flowers, a total self-serving lie.",...Or her phony landing in Bosnia where she said she was under attack and the attack turned out to be young girls handing her flowers.,"Says Hillary Clinton ""said she was under attack in Bosnia but the attack turned out to be young girls handing her flowers.""",Trump right that Clinton made up story about Bosnia sniper fire,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/jun/22/donald-trump/trump-clinton-bosnia-sniper-story/,
60,TRUMP,"Hillary Clinton supported Bill Clinton's disastrous NAFTA, just like she supported China's entrance into the World Trade Organization.","Hillary Clinton supported Bill Clintons totally disastrous NAFTA, just like she supported Chinas entrance into the World Trade Organization. Weve lost nearly one-third of our manufacturing jobs since these two Hillary-backed agreements were signed.","Clinton said ""great things about NAFTA until she started running for president.""",Clinton has changed on NAFTA,TRUE,https://www.politifact.com/truth-o-meter/statements/2008/feb/25/barack-obama/clinton-has-changed-on-nafta/,
60,TRUMP,"Hillary Clinton supported Bill Clinton's disastrous NAFTA, just like she supported China's entrance into the World Trade Organization.","Hillary Clinton supported Bill Clintons totally disastrous NAFTA, just like she supported Chinas entrance into the World Trade Organization. Weve lost nearly one-third of our manufacturing jobs since these two Hillary-backed agreements were signed.","Says Hillary Clinton voted ""for virtually every trade agreement that has cost the workers of this country millions of jobs.""","Clinton voted for 'virtually every' trade agreement, killing millions of jobs, Sanders says",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/apr/10/bernie-s/clinton-voted-virtually-every-trade-agreement-kill/,
61,TRUMP,We've lost nearly one-third of our manufacturing jobs since these two Hillary-backed agreements were signed.,"Hillary Clinton supported Bill Clintons totally disastrous NAFTA, just like she supported Chinas entrance into the World Trade Organization. Weve lost nearly one-third of our manufacturing jobs since these two Hillary-backed agreements were signed.","Says Hillary Clinton voted ""for virtually every trade agreement that has cost the workers of this country millions of jobs.""","Clinton voted for 'virtually every' trade agreement, killing millions of jobs, Sanders says",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/apr/10/bernie-s/clinton-voted-virtually-every-trade-agreement-kill/,
61,TRUMP,We've lost nearly one-third of our manufacturing jobs since these two Hillary-backed agreements were signed.,"Hillary Clinton supported Bill Clintons totally disastrous NAFTA, just like she supported Chinas entrance into the World Trade Organization. Weve lost nearly one-third of our manufacturing jobs since these two Hillary-backed agreements were signed.","NAFTA, supported by the Secretary Clinton, cost us 800,000 jobs nationwide.",Sanders overshoots on NAFTA job losses,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/bernie-s/sanders-overshoots-nafta-job-losses/,
63,TRUMP,Then she let China steal hundreds of billions of dollars in our intellectual property – a crime which is continuing to this day.,Then she left sic China  and what happened is billions and billions of dollars in our intellectual property and China has taken it.,The Chinese last year probably stole 360 billion inintellectual property from the United States.,Newt Gingrich says China stole 360 billion in intellectual property from U.S.  Pund,Mostly True,https://www.politifact.com/punditfact/statements/2016/may/17/newt-gingrich/newt-gingrich-says-china-stole-360-billion-intelle/,
64,TRUMP,"Hillary Clinton gave China millions of our best jobs, and effectively let China completely rebuild itself.","Clinton ""effectively let China completely rebuild itself.""",Weve rebuilt China.,Donald Trump says China's economic growth is thanks to the United States,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/apr/04/donald-trump/donald-trump-says-chinas-economic-growth-thanks-un/,
72,TRUMP,"Now, because I have pointed out why it would be such a disastrous deal, she is pretending that she is against it.","Now, because I have pointed out why it would be such a disastrous deal, she is pretending that she is against the Trans-Pacific Partnership. Shes  deleted the entire record from her book.","Says Hillary Clinton ""has even deleted this record of total support for the Trans-Pacific Partnership trade agreement from her book.""",Donald Trump flubs claim that Hillary Clinton deleted her support of trade deal from her book,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/jun/23/donald-trump/donald-trump-flubs-claim-hillary-clinton-deleted-h/,
73,TRUMP,"She has even deleted this record of total support from her book – deletion is something she is very good at -- (at least 30,000 emails are missing.)","Now, because I have pointed out why it would be such a disastrous deal, she is pretending that she is against the Trans-Pacific Partnership. Shes  deleted the entire record from her book.","Says Hillary Clinton ""has even deleted this record of total support for the Trans-Pacific Partnership trade agreement from her book.""",Donald Trump flubs claim that Hillary Clinton deleted her support of trade deal from her book,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/jun/23/donald-trump/donald-trump-flubs-claim-hillary-clinton-deleted-h/,WEAK
