line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
20,TRUMP,Trump speech draft leaks hours in advance By NICK GASS These are the facts: Decades of progress made in bringing down crime are now being reversed by this Administration’s rollback of criminal enforcement.,Rising homicides,Homicides last year increased by 17 percent in Americas 50 largest cities. Thats the largest increase in 25 years.,"Donald Trump says homicides are up 17 percent in 50 biggest cities, largest increase in 25 years",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-says-homicides-are-17-percent-50-bigg/,WEAK
21,TRUMP,Homicides last year increased by 17% in America’s fifty largest cities.,Rising homicides,Homicides last year increased by 17 percent in Americas 50 largest cities. Thats the largest increase in 25 years.,"Donald Trump says homicides are up 17 percent in 50 biggest cities, largest increase in 25 years",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-says-homicides-are-17-percent-50-bigg/,
22,TRUMP,That’s the largest increase in 25 years.,Rising homicides,Homicides last year increased by 17 percent in Americas 50 largest cities. Thats the largest increase in 25 years.,"Donald Trump says homicides are up 17 percent in 50 biggest cities, largest increase in 25 years",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-says-homicides-are-17-percent-50-bigg/,
29,TRUMP,The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015.,New immigrant families,The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015.,Trump says number of illegal immigrant families crossing border this year exceeds 2015,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/trump-says-number-illegal-immigrant-families-cross/,
40,TRUMP,2 million more Latinos are in poverty today than when the President took his oath of office less than eight years ago.,The plight of poverty,Two million more Latinos are in poverty today than when President Obamatook his oath of office less than eight years ago.,"Donald Trump says Latino poverty has grown under Obama, ignores important s",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-says-latino-poverty-has-grown-under-o/,
47,TRUMP,"Our roads and bridges are falling apart, our airports are in Third World condition, and forty-three million Americans are on food stamps.",The plight of poverty,Forty-three million Americans are on food stamps.,Trump 43 million Americans on food stamps,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/trump-43-million-americans-food-stamps/,
43,TRUMP,Our manufacturing trade deficit has reached an all-time high – nearly $800 billion in a single year.,Trade and job loss,Our trade deficit in goods reached nearly  800 billion last year alone.,Donald Trump says goods trade deficit was almost 800 billion in 2015,TRUE,https://politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-says-goods-trade-deficit-was-almost-8/,
187,TRUMP,"America has lost nearly-one third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.",Trade and job loss,"America has lost nearlyone third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.","Trump gives half the story on trade deals, the Clintons and factory jobs",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/trump-gives-half-story-trade-deals-clintons-and-fa/,
187,TRUMP,"America has lost nearly-one third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.",Trade and job loss,Our trade deficit in goods reached nearly  800 billion last year alone.,Donald Trump says goods trade deficit was almost 800 billion in 2015,TRUE,https://politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-says-goods-trade-deficit-was-almost-8/,WEAK
160,TRUMP,"Instead, my opponent wants Sanctuary Cities.",Fighting illegal immigration,"Says Hillary Clinton ""wants sanctuary cities.""",Donald Trump says at RNC that Hillary Clinton 'wants sanctuary cities'  PolitiFact Florid,Mostly True,https://politifact.com/florida/statements/2016/jul/21/donald-trump/donald-trump-says-rnc-hillary-clinton-says-hillary/,
58,TRUMP,"In 2009, pre-Hillary, ISIS was not even on the map.",Did Hillary Clinton create ISIS?,"In 2009, pre-Hillary, ISIS was not even on the map.",Donald Trump says before Hillary Clinton was Secretary of State 'ISIS was not even on the map.'  PolitiFact Florid,Mostly False,https://www.politifact.com/florida/statements/2016/jul/21/donald-trump/donald-trump-says-hillary-clinton-was-secretary-is/,
148,TRUMP,My opponent has called for a radical 550% increase in Syrian refugees on top of existing massive refugee flows coming into our country under President Obama.,Screening refugees,"Says Hillary Clinton ""has called for a radical 550 percent increase in Syrian ... refugees . . . despite the fact that theres no way to screen these refugees in order to find out who they are or where they come from.""",Donald Trump again fails to screen out the falsehood in oft-repeated claim on Syrian refugees,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-again-fails-screen-out-falsehood-oft-/,
149,TRUMP,She proposes this despite the fact that there’s no way to screen these refugees in order to find out who they are or where they come from.,Screening refugees,"Says Hillary Clinton ""has called for a radical 550 percent increase in Syrian ... refugees . . . despite the fact that theres no way to screen these refugees in order to find out who they are or where they come from.""",Donald Trump again fails to screen out the falsehood in oft-repeated claim on Syrian refugees,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-again-fails-screen-out-falsehood-oft-/,
205,TRUMP,"While Hillary Clinton plans a massive tax increase, I have proposed the largest tax reduction of any candidate who has declared for the presidential race this year – Democrat or Republican.",Comparing tax plans,"While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for president this year, Democrat or Republican.",Donald Trump says he had the biggest tax cuts of any 2016 candidate,Mostly True,https://politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-says-he-had-biggest-tax-cuts-any-2016/,
206,TRUMP,"Middle-income Americans will experience profound relief, and taxes will be simplified for everyone.",Comparing tax plans,"While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for president this year, Democrat or Republican.",Donald Trump says he had the biggest tax cuts of any 2016 candidate,Mostly True,https://politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-says-he-had-biggest-tax-cuts-any-2016/,WEAK
207,TRUMP,America is one of the highest-taxed nations in the world.,Comparing tax plans,We're the highest taxed nation in the world.,"r the third time, Donald Trump, U.S. is not 'highest taxed nation in the world'",FALSE,https://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/,
207,TRUMP,America is one of the highest-taxed nations in the world.,Comparing tax plans,America is one of the highest-taxed nations in the world.,"Trump tweaks talking point about U.S. being 'one of' highest-taxed nations, but it's still flawed",Mostly False,https://politifact.com/truth-o-meter/statements/2016/jul/22/donald-trump/trumps-claim-us-taxes-tweaked/,
230,TRUMP,My opponent wants to essentially abolish the 2nd amendment.,Clinton on the Second Amendment,"Says Hillary Clinton ""wants to essentially abolish the Second Amendment.""","Despite new adverb, Trump's claim about Clinton wanting to 'abolish' 2nd Amendment is still False",FALSE,https://politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/despite-new-adverb-trumps-claim-about-clinton-want/,
42,TRUMP,"Household incomes are down more than $4,000 since the year 2000.",Household incomes,"Household incomes are down more than 4,000 since the year 2000.","Donald Trump is largely right that household incomes are down 4,000 since 2000",Mostly True,https://politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-largely-right-household-incomes-are-d/,
234,TRUMP,"An amendment, pushed by Lyndon Johnson, many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.",Church and state,"An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.",Donald Trump correct  Lyndon Johnson passed legislation limiting political activity of churches,TRUE,https://politifact.com/truth-o-meter/statements/2016/jul/22/donald-trump/donald-trump-correct-lyndon-johnson-passed-legisla/,
28,TRUMP,"Nearly 180,000 illegal immigrants with criminal records, ordered deported from our country, are tonight roaming free to threaten peaceful citizens.",Deportation and criminal records,"Nearly 180,000 illegal immigrants with criminal records, ordered deported from our country, are tonight roaming free to threaten peaceful citizens.","Trump Nearly '180,000 illegal immigrants' have criminal records but haven't been deported",Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jul/22/donald-trump/trump-nearly-180000-illegal-immigrants-have-crimin/,
