line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
63,Donald Trump,"Hillary Clinton has pledged amnesty in her first 100 days, and her plan will provide Obamacare, Social Security and Medicare for illegal immigrants -- breaking the federal budget.","Hillary Clinton has pledged amnesty in her first 100 days, and her plan will provide Obamacare, Social Security, and Medicare for illegal immigrants, breaking the federal budget.","Says ""Hillary Clinton has pledged amnesty in her first 100 days, and her plan will provide Obamacare, Social Security, and Medicare for illegal immigrants, breaking the federal budget.""","Donald Trump strays from key facts on Hillary Clinton 'amnesty,' social programs for immigrants",Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/sep/02/donald-trump/donald-trump-strays-key-facts-hillary-clinton-amne/,
48,Donald Trump,"The truth is, the central issue is not the needs of the 11 million illegal immigrants -- or however many there may be.","The truth is, the central issue is not the needs of the 11 million illegal immigrants or however many there may be -- and honestly we've been hearing that number for years. It's always 11 million. Our government has no idea. It could be 3 million. It could be 30 million. They have no idea what the number is.","The number of illegal immigrants ""could be 3 million. It could be 30 million.""",Donald Trump repeats Pants on Fire claim about '30 million' illegal immigrants,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/sep/01/donald-trump/donald-trump-repeats-pants-fire-claim-about-30-mil/,
43,Donald Trump,"On top of that, illegal immigration costs our country more than $113 billion dollars a year.",Illegal immigration costs our country more than 113 billion a year.,Illegal immigration costs our country more than 113 billion a year.,Donald Trump says illegal immigration costs 113 billion a year,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/sep/01/donald-trump/donald-trump-says-illegal-immigration-costs-113-bi/,
61,Donald Trump,President Obama and Hillary Clinton have engaged in gross dereliction of duty by surrendering the safety of the American people to open borders.,"President Obama and Hillary Clinton have engaged in gross dereliction of duty by surrendering the safety of the American people to open borders, and you know it better than anybody right here in Arizona. You know it.",Hillary Clinton is for open borders.,Rudy Giuliani wrongly says Hillary Clinton is for open borders  PolitiFact Florid,FALSE,https://www.politifact.com/florida/statements/2016/jul/18/rudy-giuliani/rudy-giuliani-wrongly-says-hillary-clinton-open-bo/,
61,Donald Trump,President Obama and Hillary Clinton have engaged in gross dereliction of duty by surrendering the safety of the American people to open borders.,"President Obama and Hillary Clinton have engaged in gross dereliction of duty by surrendering the safety of the American people to open borders, and you know it better than anybody right here in Arizona. You know it.","Says Barack Obama ""has deported more people than any other president in this country's history.""",Has Barack Obama deported more people than any other president in U.S. history?,Half-True,https://www.politifact.com/truth-o-meter/statements/2012/aug/10/american-principles-action/has-barack-obama-deported-more-people-any-other-pr/,
61,Donald Trump,President Obama and Hillary Clinton have engaged in gross dereliction of duty by surrendering the safety of the American people to open borders.,"President Obama and Hillary Clinton have engaged in gross dereliction of duty by surrendering the safety of the American people to open borders, and you know it better than anybody right here in Arizona. You know it.","Says HillaryClintons immigration platform would ""create totally open borders.""",Donald Trump says Hillary Clinton would create 'totally open borders'  PolitiFact Florid,FALSE,https://www.politifact.com/florida/statements/2016/jun/23/donald-trump/donald-trump-says-hillary-clinton-would-create-tot/,
124,Donald Trump,"There are at least 23 countries that refuse to take their people back after they have been ordered to leave the United States, including large numbers of violent criminals.","There are at least 23 countries that refuse to take their people back after theyve been ordered to leave the United States,including large numbers of violent criminals.","There are at least 23 countries that refuse to take their people back after theyve been ordered to leave the United States, including large numbers of violent criminals.",Mostly True Donald Trump says 23 countries refuse to take back their natives from Amer,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/sep/01/donald-trump/donald-trump-mostly-right-about-countries-refusing/,
82,Donald Trump,"Since 2013 alone, the Obama Administration has allowed 300,000 criminal aliens to return back into U.S. communities -- these are individuals encountered or identified by ICE but who were not detained or processed for deportation.","Since 2013 alone, the Obama administration has allowed 300,000 criminal aliens to return back into United States communities. These are individuals encountered or identified by ICE, but who were not detained or processed for deportation because it wouldn't have been politically correct.","Since 2013 alone, the Obama administration has allowed 300,000 criminal aliens to return back into United States communities. These are individuals encountered or identified by Immigration and Customs Enforcement, but who were not detained or processed for deportation because it wouldn't have been politically correct.","Donald Trump says Obama has let300,000 criminal aliens to goback into U.S.communities",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/sep/02/donald-trump/donald-trump-says-obama-administration-has-let-300/,
52,Donald Trump,Only out of touch media elites think the biggest problem facing American society today is that there are 11 million illegal immigrants who don't have legal status.,"You know this, this is what they talk about, facing American society today is that there are 11 million illegal immigrants who don't have legal status. And, they also think the biggest thing, and you know this, it's not nuclear, and it's not ISIS, it's not Russia, it's not China, it's global warming.","The president has said the national security threat facing America, the top one, is global warming.",Arizona sheriff says Obama called global warming Americas top national security threat  PolitiFact Arizon,Mostly False,https://www.politifact.com/arizona/statements/2016/jun/03/paul-babeu/arizona-sheriff-says-obama-called-global-warming-a/,
135,Donald Trump,Approximately half of new illegal immigrants came on temporary visas and then never left.,"Approximately half of new illegal immigrants came on temporary visas and then never, ever left. Why should they? Nobody's telling them to leave. Stay as long as you want, we'll take care of you.","Forty percent of people in this country, illegally, are overstaying visas.",Rubio says 40 of illegal immigrants stayed in the U.S. after their visas expired  PolitiFact Florid,Mostly True,https://www.politifact.com/florida/statements/2015/jul/29/marco-rubio/rubio-says-40-percent-illegal-immigrants-are-overs/,
