line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
73,CLINTON,"Classified material has a header which says “top secret,” “secret,” “confidential.” Nothing — and I will repeat this, and this is verified in the report by the Department of Justice — none of the e-mails sent or received by me had such a header.","Clinton ""Classified material has a header which says top-secret, secret, confidential. Nothing, and I will repeat this and this is verified in the report by the Department of Justice, none of the emails sent or received by me had such a header.""","Classified material has a header which says top-secret, secret, confidential. Nothing, and I will repeat this and this is verified in the report by the Department of Justice, none of the emails sent or received by me had such a header.",Hillary Clinton says none of her emails had classification headers,Mostly True,https://politifact.com/truth-o-meter/statements/2016/sep/07/hillary-clinton/clinton-says-none-her-emails-were-labeled-top-secr/,
165,CLINTON,"He’s on record extensively supporting intervention in Libya, when Gadhafi was threatening to massacre his population.","Clinton ""With respect to Libya, again, there's no difference between my opponent and myself. He's on record extensively supporting intervention in Libya.""","Says Donald Trump is ""on record extensively supporting the intervention in Libya.""",Hillary Clinton says Trump supported intervention in Liby,Mostly True,https://politifact.com/truth-o-meter/statements/2016/sep/07/hillary-clinton/clinton-says-trump-supported-intervention-libya/,
221,CLINTON,"And I do think there is an agenda out there, supported by my opponent, to do just that.","Clinton ""I will not let the VA be privatized, and I do think there is an agenda out there, supported by my opponent to do just that.""","Says Donald Trump supports ""an agenda out there"" to privatize the Veterans Affairshealth care system.",Hillary Clinton says Donald Trump supports privatizing the VA health care system,Mostly False,https://politifact.com/truth-o-meter/statements/2016/sep/07/hillary-clinton/hillary-clinton-says-donald-trump-supports-privati/,NEEDS CONTEXT
240,LAUER,The population of veterans has a rate of suicide far above the general population.,Clinton There are 20 veteran suicides a day.,"A shocking 20 veterans are committing suicide each and every day, especially our older veterans.",Donald Trump says average of 20 veterans commit suicide daily  PolitiFact Virgin,TRUE,https://www.politifact.com/virginia/statements/2016/jul/14/donald-trump/donald-trump-correctly-says-20-veterans-commit-sui/,
241,CLINTON,Twenty — twenty suicides a day.,Clinton There are 20 veteran suicides a day.,"A shocking 20 veterans are committing suicide each and every day, especially our older veterans.",Donald Trump says average of 20 veterans commit suicide daily  PolitiFact Virgin,TRUE,https://www.politifact.com/virginia/statements/2016/jul/14/donald-trump/donald-trump-correctly-says-20-veterans-commit-sui/,
358,TRUMP,I was totally against the war in Iraq.,"Trump ""I was totally against the war in Iraq.""",I was totally against the war in Iraq.,Trump repeats wrong claim that he opposed Iraq War,FALSE,https://politifact.com/truth-o-meter/statements/2016/sep/07/donald-trump/trump-repeats-wrong-claim-he-opposed-iraq-war/,
378,TRUMP,I was able to get more votes than anybody ever has gotten in the history of Republican politics.,"Trump ""I was able to get more votes than anybody has ever gotten in the history of Republican politics.""",We got the highest vote count in the history of the Republican Party.,Donald Trump set the record for the most GOP primary votes ever. But that's not his only record  PolitiFact North Carolin,Mostly True,https://www.politifact.com/north-carolina/statements/2016/jul/08/donald-trump/donald-trump-set-record-most-gop-primary-votes-eve/,
439,TRUMP,"And really, ISIS was formed.","Trump Obama ""came in. He said when we go out  and he took everybody out. And really ISIS was formed.""","Says Barack Obama ""founded ISIS. I would say the co-founder would be crooked Hillary Clinton.""","Donald Trump's Pants on Fire claim that Barack Obama 'founded' ISIS, Hillary Clinton was 'cofounder'",Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/aug/11/donald-trump/donald-trump-pants-fire-claim-obama-founded-isis-c/,NEEDS CONTEXT
545,TRUMP,"I think it’s very sad, when you look at Barack Obama, as an example, lands Air Force One in China, and they don’t want to put out stairs to get off the plane.","Trump ""Barack Obama, as an example, lands Air Force One in China, and they dont want to put out stairs to get off the plane. ... When he lands in Saudi Arabia, and he lands in Cuba, there arent high officials to even greet him.""","When President Obama landed in Cuba on Air Force One, no leader was there, nobody, to greet him -- perhaps an incident without precedent in the long and prestigious history of Air Force One.","Donald Trump says Raul Castro snubbed Barack Obama at airport, and that it's 'without precedent'",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/apr/28/donald-trump/donald-trump-says-raul-castro-snubbed-barack-obama/,
564,TRUMP,"Well, he does have an 82 percent approval rating, according to the different pollsters, who, by the way, some of them are based right here.","Trump Putin ""does have an 82 percent approval rating.""","Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""",Donald Trump is right about Putin's popularity in Russ,TRUE,https://www.politifact.com/truth-o-meter/statements/2015/dec/20/donald-trump/donald-trump-right-about-putins-popularity-russia/,
571,TRUMP,"TRUMP: Well, I think when he calls me brilliant, I’ll take the compliment, OK?","Trump ""Well, I think when Putincalls me brilliant, Ill take the compliment, OK?""","Says Russian President Vladimir Putin ""calls me brilliant.""",Did Vladimir Putin call Trump 'brilliant'?,Mostly False,https://politifact.com/truth-o-meter/statements/2016/sep/08/donald-trump/did-vladimir-putin-call-trump-brilliant/,
611,TRUMP,"And by the way, Hillary Clinton six months ago said the vets are being treated essentially just fine, there’s no real problem, it’s over-exaggerated.","Trump ""Hillary Clinton six months ago said the vets are being treated essentially just fine, theres no real problem, its over-exaggerated. She did say that.""","Says Hillary Clinton said the Veterans Affairs scandal is ""over-exaggerated."" ""She said she was satisfied with what was going on.""","Did Hillary Clinton say she was ""satisfied"" with Veterans Administration?",Mostly False,https://politifact.com/truth-o-meter/statements/2016/sep/07/donald-trump/Trump-says-Clinton-satisfied-with-VA/,
