line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
29,CLINTON,I have major disagreements with my opponent about these issues and others that will be before the Supreme Court.,"Clinton ""I have major disagreements"" with Trump on issues like marriage equality, abortion and Citizens United.","Donald Trump is ""against marriage equality. He wants to go back.""",Donald Trump is against same-sex marriage  PolitiFact New York,TRUE,https://www.politifact.com/new-york/statements/2016/aug/14/sean-patrick-maloney/donald-trump-against-same-sex-marriage/,WEAK
29,CLINTON,I have major disagreements with my opponent about these issues and others that will be before the Supreme Court.,"Clinton ""I have major disagreements"" with Trump on issues like marriage equality, abortion and Citizens United.","Says Donald Trump has ""changed his mind"" on abortion.",rina Trump's abortion flip-flop,TRUE,https://www.politifact.com/truth-o-meter/statements/2015/aug/11/carly-fiorina/fiorina-trumps-abortion-flip-flop/,WEAK
30,CLINTON,"But I feel that at this point in our country's history, it is important that we not reverse marriage equality, that we not reverse Roe v. Wade, that we stand up against Citizens United, we stand up for the rights of people in the workplace, that we stand up and basically say: The Supreme Court should represent all of us.","Clinton ""I have major disagreements"" with Trump on issues like marriage equality, abortion and Citizens United.","Donald Trump is ""against marriage equality. He wants to go back.""",Donald Trump is against same-sex marriage  PolitiFact New York,TRUE,https://www.politifact.com/new-york/statements/2016/aug/14/sean-patrick-maloney/donald-trump-against-same-sex-marriage/,
48,TRUMP,"I believe if my opponent should win this race, which I truly don't think will happen, we will have a Second Amendment which will be a very, very small replica of what it is right now.","Trump ""I believe if my opponent should win this race, which I truly don't think will happen, we will have a Second Amendment which will be a very, very small replica of what it is right now.""","SaysHillary Clinton ""wants to abolish the Second Amendment.""",Donald Trump falsely claims Hillary Clinton 'wants to abolish the 2nd Amendment',FALSE,https://www.politifact.com/truth-o-meter/statements/2016/may/11/donald-trump/donald-trump-falsely-claims-hillary-clinton-wants-/,
78,CLINTON,"And what I was saying that you referenced, Chris, was that I disagreed with the way the court applied the Second Amendment in that case, because what the District of Columbia was trying to do was to protect toddlers from guns and so they wanted people with guns to safely store them.","Clinton ""What the District of Columbia was trying to do was to protect toddlers from guns and so they wanted people with guns to safely store them.""",What the District of Columbia was trying to dowith its handgun ban was to protect toddlers from guns.,Hillary Clinton says Supreme Court gun decision dealt with protecting toddlers,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/19/hillary-clinton/hillary-clinton-says-supreme-court-gun-decision-de/,
74,CLINTON,"And so when I think about what we need to do, we have 33,000 people a year who die from guns.","Clinton ""We have 33,000 people a year who die from guns.""","We have 33,000 people a year who die from guns.","Hillary Clinton says 33,000 Americans die each year from guns",Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/oct/19/hillary-clinton/hillary-clinton-says-33000-americans-die-each-year/,
139,WALLACE,"And, indeed, he said women should be punished, that there should be some form of punishment for women who obtain abortions.","Clinton ""Indeed, he said women should be punished, that there should be some form of punishment for women who obtain abortions.""","Says Donald Trump ""said a woman should be punished for exercising her right to choose.""","At DNC, Barbara Boxer says Trump said women should be 'punished' for abortion",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jul/26/barbara-boxer/dnc-barbara-boxer-says-trump-said-women-should-be-/,
189,TRUMP,Hillary wants to give amnesty.,"Trump ""Hillary wants to give amnesty. She wants to have open borders.""","Says Hillary Clinton ""wants to have open borders.""",Donald Trump says Hillary Clinton wants to have open borders,Mostly False,http://politifact.com/truth-o-meter/statements/2016/oct/19/donald-trump/donald-trump-says-hillary-clinton-wants-have-open-/,
190,TRUMP,She wants to have open borders.,"Trump ""Hillary wants to give amnesty. She wants to have open borders.""","Says Hillary Clinton ""wants to have open borders.""",Donald Trump says Hillary Clinton wants to have open borders,Mostly False,http://politifact.com/truth-o-meter/statements/2016/oct/19/donald-trump/donald-trump-says-hillary-clinton-wants-have-open-/,
200,TRUMP,All of the problems -- the single biggest problem is heroin that pours across our southern border.,"Trump ""The single-biggest problem is heroin that pours across our southern borders, just pouring, and destroying their youth and is poisoning the blood of their youth and plenty of other people.""",Heroin .. pours across our southern borders.,Trump says heroin pours across the southern border,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/oct/19/donald-trump/trump-says-heroin-pours-across-southern-border/,
