line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
27,Donald Trump,"Everyone is listening to you now, you came by the tens of millions to become part of a historic movement, the likes of which the world has never seen before.","You came by the tens of millions to become part of a historic movement, the likes of which the world has never seen before.","We had a massive landslide victory, as you know, in the Electoral College.",Donald Trump's Electoral College victory was not a 'massive landslide',FALSE,https://www.politifact.com/truth-o-meter/statements/2016/dec/12/donald-trump/donald-trumps-electoral-college-victory-was-not-ma/,
32,Donald Trump,"Mothers and children trapped in poverty in our inner cities, rusted-out factories, scattered like tombstones across the landscape of our nation, an education system flush with cash but which leaves our young and beautiful students deprived of all knowledge.",Mothers and children trapped in poverty in our inner cities.,Nearly half of African-American children under the age of 6 are living in abject poverty.,Donald Trump says half of young black children are in 'abject poverty',Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/28/donald-trump/donald-trump-says-half-young-black-children-are-ab/,
32,Donald Trump,"Mothers and children trapped in poverty in our inner cities, rusted-out factories, scattered like tombstones across the landscape of our nation, an education system flush with cash but which leaves our young and beautiful students deprived of all knowledge.",Mothers and children trapped in poverty in our inner cities.,Our African-American communities are absolutely in the worst shape they've ever been in before. Ever. Ever. Ever.,Trump's Pants on Fire claim that black communities 'are absolutely in the worst shape' ever,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/sep/22/donald-trump/trumps-pants-fire-claim-blacks-are-absolutely-wors/,
32,Donald Trump,"Mothers and children trapped in poverty in our inner cities, rusted-out factories, scattered like tombstones across the landscape of our nation, an education system flush with cash but which leaves our young and beautiful students deprived of all knowledge.","An education system flush with cash, but which leaves our young and beautiful students deprived of all knowledge",We spend more per student than almost any other major country in the world.,Trump U.S. spends more than 'almost any other major country' on education  PolitiFact Oh,TRUE,https://www.politifact.com/ohio/statements/2016/sep/21/donald-trump/trump-us-spends-more-almost-any-other-major-countr/,
33,Donald Trump,And the crime and the gangs and the drugs that have stolen too many lives and robbed our country of so much unrealized potential.,The crime and the gangs and the drugs that have stolen too many lives and robbed our country of so much unrealized potential,Says crime statistics show blacks kill 81 percent of white homicide victims.,Trump's Pants on Fire tweet that blacks killed 81 of white homicide victims,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2015/nov/23/donald-trump/trump-tweet-blacks-white-homicide-victims/,
33,Donald Trump,And the crime and the gangs and the drugs that have stolen too many lives and robbed our country of so much unrealized potential.,The crime and the gangs and the drugs that have stolen too many lives and robbed our country of so much unrealized potential,"Says there are ""probably 2 million, it could be even 3 million"" criminal immigrants in the country illegally.",Trump misleads in number of criminal immigrants illegally in country,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/nov/15/donald-trump/trump-misleads-number-criminal-immigrants-illegall/,
33,Donald Trump,And the crime and the gangs and the drugs that have stolen too many lives and robbed our country of so much unrealized potential.,The crime and the gangs and the drugs that have stolen too many lives and robbed our country of so much unrealized potential,Illegal immigration and the crime rate are as low as theyve been in decades.,"Crime and illegal immigration are at decades-long lows, says Barack Obam",Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jul/28/barack-obama/crime-and-illegal-immigration-are-decades-long-low/,
33,Donald Trump,And the crime and the gangs and the drugs that have stolen too many lives and robbed our country of so much unrealized potential.,The crime and the gangs and the drugs that have stolen too many lives and robbed our country of so much unrealized potential,"We have an increase in murder within our cities, the biggest in 45 years.",Donald Trump largely accurate that U.S. had biggest increase in murders in 45 years,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/oct/10/donald-trump/trump-claims-us-has-biggest-increase-murders-45-ye/,
40,Donald Trump,We have defended other nations' borders while refusing to defend our own.,Weve defended other nation's borders while refusing to defend our own.,"Says ""56 percentof the U.S.-Mexico border is not under our control.""",Ben Carson Most of the border is 'not under our control',Half-True,https://www.politifact.com/truth-o-meter/statements/2015/aug/23/ben-carson/ben-carson-most-border-not-under-our-control/,
41,Donald Trump,And spent trillions and trillions of dollars overseas while America's infrastructure has fallen into disrepair and decay.,"Weve ""spent trillions of dollars overseas""",Weve spent 6 trillion on the wars in the Middle East.,Did U.S. spend 6 trillion in Middle East wars?,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/27/donald-trump/did-us-spend-6-trillion-middle-east-wars/,
39,Donald Trump,"For many decades, we have enriched foreign industry at the expense of American industry, subsidized the armies of other countries while allowing for the very sad depletion of our military.","Weve ""subsidized the armies of other countries while allowing for the very sad depletion of our military""",We spend more on our military than the next eight nations combined.,Obama US spends more on military than next 8 nations combined,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jan/13/barack-obama/obama-us-spends-more-military-next-8-nations-combi/,
39,Donald Trump,"For many decades, we have enriched foreign industry at the expense of American industry, subsidized the armies of other countries while allowing for the very sad depletion of our military.","Weve ""subsidized the armies of other countries while allowing for the very sad depletion of our military""","Under sequestration, the military was cut ""down to the smallest Army since 1940, the smallest Navy since 1915.""","Lindsey Graham Army is smallest since 1940, Navy smallest since 1915",Half-True,https://www.politifact.com/truth-o-meter/statements/2014/oct/05/lindsey-graham/lindsey-graham-army-smallest-1940-navy-smallest-19/,
42,Donald Trump,"We’ve made other countries rich while the wealth, strength and confidence of our country has dissipated over the horizon.",Weve made other countries rich while the wealth  of our country has dissipated over the horizon.,We've made other countries rich while the wealth ... of our country has dissipated over the horizon.,Trump wrongly says U.S. has made others rich while our wealth has 'dissipated',Mostly False,https://www.politifact.com/truth-o-meter/statements/2017/jan/20/donald-trump/trump-wrongly-says-us-has-made-others-rich-while-o/,
61,Donald Trump,"We will follow two simple rules, buy American and hire American.We will seek friendship and goodwill with the nations of the world, but we do so with the understanding that it is the right of all nations to put their own interests first.",We will follow two simple rules Buy American and hire American.,"Says Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware in Slovenia and his cufflinks and ties in China.",#NAME?,Mostly True,https://www.politifact.com/punditfact/statements/2016/jul/25/funny-or-die/fact-checking-funny-or-die-video-about-trump-brand/,
61,Donald Trump,"We will follow two simple rules, buy American and hire American.We will seek friendship and goodwill with the nations of the world, but we do so with the understanding that it is the right of all nations to put their own interests first.",We will follow two simple rules Buy American and hire American.,"Says Donald Trumps ""Make America Great Again""hats were made in China.",Tweets say Donald Trump's 'Make America Great Again' hats are made in China  Pund,Pants on Fire!,https://www.politifact.com/punditfact/statements/2015/oct/07/tweets/tweets-say-donald-trumps-make-america-great-again-/,
61,Donald Trump,"We will follow two simple rules, buy American and hire American.We will seek friendship and goodwill with the nations of the world, but we do so with the understanding that it is the right of all nations to put their own interests first.",We will follow two simple rules Buy American and hire American.,"Says Donald Trump ""used undocumented labor to build the Trump Tower.""",Hillary Clinton correctly claims that Trump Tower was in part built by undocumented workers,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/oct/20/hillary-clinton/hillary-clinton-correctly-claims-trump-tower-was-p/,
61,Donald Trump,"We will follow two simple rules, buy American and hire American.We will seek friendship and goodwill with the nations of the world, but we do so with the understanding that it is the right of all nations to put their own interests first.",We will follow two simple rules Buy American and hire American.,"Says Donald Trump ""games the U.S. visa system so he can hire temporary foreign workers at low wages.""",Bloomberg says Trump bashes immigrants yet hires overseas workers  PolitiFact Florid,Mostly True,https://www.politifact.com/florida/statements/2016/jul/27/michael-bloomberg/michael-bloomberg-donald-trump-visa-sys/,
