line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
106,Donald Trump,"You have people that are registered who are dead, who are illegals, who are in two states.","You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","There was ""serious voter fraud"" in California.",nts On Fire for Trump's claim about 'serious voter fraud' in California  PolitiFact Californ,Pants on Fire!,https://www.politifact.com/california/statements/2016/nov/28/donald-trump/pants-fire-trumps-claim-about-california-voter-fra/,
106,Donald Trump,"You have people that are registered who are dead, who are illegals, who are in two states.","You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","There was ""serious voter fraud"" in Virginia.",Trump's Pants on Fire for claiming 'serious voter fraud' occurred in Virginia  PolitiFact Virgin,Pants on Fire!,https://www.politifact.com/virginia/statements/2016/nov/29/donald-trump/trumps-pants-fire-serious-voter-fraud-claim-virgin/,
106,Donald Trump,"You have people that are registered who are dead, who are illegals, who are in two states.","You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","There was ""serious voter fraud"" in New Hampshire.",Trump claims 'serious voter fraud' in New Hampshire  PolitiFact New Hampshire,Pants on Fire!,https://www.politifact.com/new-hampshire/statements/2016/nov/28/donald-trump/trump-claims-serious-voter-fraud-new-hampshire/,
106,Donald Trump,"You have people that are registered who are dead, who are illegals, who are in two states.","You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","Says the U.S. election system is ""rigged.""",Donald Trump's baseless claims about the election being 'rigged',Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/aug/15/donald-trump/donald-trumps-baseless-claims-about-election-being/,
106,Donald Trump,"You have people that are registered who are dead, who are illegals, who are in two states.","You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","You have to be a citizen to vote, but with same-day voter registration, ""you have places where people just walk in and vote.""",Donald Trump wrongly says noncitizens can vote when there is same-day voter registration,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-wrongly-says-noncitizens-can-vote-whe/,
106,Donald Trump,"You have people that are registered who are dead, who are illegals, who are in two states.","You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","Says he ""won the popular vote if you deduct the millions of people who voted illegally.""",Donald Trump's Pants on Fire claim that millions of illegal votes cost him popular vote victory,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/nov/28/donald-trump/donald-trumps-pants-fire-claim-millions-illegal-vo/,
106,Donald Trump,"You have people that are registered who are dead, who are illegals, who are in two states.","You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.",More people are struck by lightning than commit in-person voter fraud by impersonation.,Which happens more People struck by lightning or people committing voter fraud by impersonation?  PolitiFact Wisconsin,TRUE,https://www.politifact.com/wisconsin/statements/2016/apr/07/mark-pocan/which-happens-more-people-struck-lightning-or-peop/,
106,Donald Trump,"You have people that are registered who are dead, who are illegals, who are in two states.","You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","There are ""a larger number of shark attacks in Florida than there are cases of voter fraud.""",Are shark attacks more common than voter fraud in Florida?  PolitiFact Florid,Mostly True,https://www.politifact.com/florida/statements/2012/mar/02/aclu-florida/shark-attacks-are-more-common-voter-fraud-florida/,
109,Donald Trump,They vote twice.,"You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","There was ""serious voter fraud"" in California.",nts On Fire for Trump's claim about 'serious voter fraud' in California  PolitiFact Californ,Pants on Fire!,https://www.politifact.com/california/statements/2016/nov/28/donald-trump/pants-fire-trumps-claim-about-california-voter-fra/,
109,Donald Trump,They vote twice.,"You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","There was ""serious voter fraud"" in Virginia.",Trump's Pants on Fire for claiming 'serious voter fraud' occurred in Virginia  PolitiFact Virgin,Pants on Fire!,https://www.politifact.com/virginia/statements/2016/nov/29/donald-trump/trumps-pants-fire-serious-voter-fraud-claim-virgin/,
109,Donald Trump,They vote twice.,"You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","There was ""serious voter fraud"" in New Hampshire.",Trump claims 'serious voter fraud' in New Hampshire  PolitiFact New Hampshire,Pants on Fire!,https://www.politifact.com/new-hampshire/statements/2016/nov/28/donald-trump/trump-claims-serious-voter-fraud-new-hampshire/,
109,Donald Trump,They vote twice.,"You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","Says the U.S. election system is ""rigged.""",Donald Trump's baseless claims about the election being 'rigged',Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/aug/15/donald-trump/donald-trumps-baseless-claims-about-election-being/,
109,Donald Trump,They vote twice.,"You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","You have to be a citizen to vote, but with same-day voter registration, ""you have places where people just walk in and vote.""",Donald Trump wrongly says noncitizens can vote when there is same-day voter registration,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-wrongly-says-noncitizens-can-vote-whe/,
109,Donald Trump,They vote twice.,"You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.","Says he ""won the popular vote if you deduct the millions of people who voted illegally.""",Donald Trump's Pants on Fire claim that millions of illegal votes cost him popular vote victory,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/nov/28/donald-trump/donald-trumps-pants-fire-claim-millions-illegal-vo/,
109,Donald Trump,They vote twice.,"You have people that are registered who are dead, who are illegals, who are in two states. You have people registered in two states. They're registered in a New York and a New Jersey. They vote twice. There are millions of votes, in my opinion.",More people are struck by lightning than commit in-person voter fraud by impersonation.,Which happens more People struck by lightning or people committing voter fraud by impersonation?  PolitiFact Wisconsin,TRUE,https://www.politifact.com/wisconsin/statements/2016/apr/07/mark-pocan/which-happens-more-people-struck-lightning-or-peop/,
