line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
140,Donald Trump,I've been against the war in Iraq from the beginning.,Trump still wasnt against the Iraq war from the beginning,I was totally against the war in Iraq.,Trump repeats wrong claim that he opposed Iraq War,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/sep/07/donald-trump/trump-repeats-wrong-claim-he-opposed-iraq-war/,
214,Donald Trump,"I will tell you that sanctuary cities are -- they got a lot of problems, and if there is tremendous crime.",Sanctuary cities breed crime,"From the release of a child rapist from the Dominican Republican to that of an Italian drug smuggler, Philadelphians have already been put in direct danger by Mayor Kenneys policy of blocking local law enforcement from participating with federal immigration authorities.",Is Phillys sanctuary city status putting residents in danger?  PolitiFact Pennsylvan,Mostly False,https://www.politifact.com/pennsylvania/statements/2017/jan/31/joe-defelice/phillys-sanctuary-city-status-putting-residents-da/,
214,Donald Trump,"I will tell you that sanctuary cities are -- they got a lot of problems, and if there is tremendous crime.",Sanctuary cities breed crime,Study after study have shown that sanctuary cities do not lead to an increase in crime because of the presence of people that are undocumented.,"Santa Fe mayor defends sanctuary cities, says studies don't show increase in crime",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/nov/28/javier-m-gonzales/santa-fe-mayor-defends-sanctuary-cities-says-studi/,
350,Bill O'Reilly,"But if you say for example that there are three million illegal aliens who voted and then, you don't have the data to back it up, some people is going to say, that is irresponsible for a president to say that.",Many people say Trumps right about massive voter fraud,Report 3 million votes in presidential election cast by illegal aliens.,-check Did 3 million undocumented immigrants vote in this year's election?  Pund,FALSE,https://www.politifact.com/punditfact/statements/2016/nov/18/blog-posting/no-3-million-undocumented-immigrants-did-not-vote-/,
356,Donald Trump,"And when you look at the registration, and you see dead people that have voted, that are on many, many dead people are on that have voted, when you see people that are registered in two states that voted in two states, when you see other things, when you see illegals, people that are not citizens, and they are on the registration rolls.",Many people say Trumps right about massive voter fraud,Report 3 million votes in presidential election cast by illegal aliens.,-check Did 3 million undocumented immigrants vote in this year's election?  Pund,FALSE,https://www.politifact.com/punditfact/statements/2016/nov/18/blog-posting/no-3-million-undocumented-immigrants-did-not-vote-/,
356,Donald Trump,"And when you look at the registration, and you see dead people that have voted, that are on many, many dead people are on that have voted, when you see people that are registered in two states that voted in two states, when you see other things, when you see illegals, people that are not citizens, and they are on the registration rolls.",Non-citizens on voter rolls is a really bad situation,14 percent of noncitizens are registered to vote.,Donald Trump wrongly says 14 percent of noncitizens are registered to vote,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/oct/24/donald-trump/donald-trump-wrongly-says-14-percent-noncitizens-a/,
356,Donald Trump,"And when you look at the registration, and you see dead people that have voted, that are on many, many dead people are on that have voted, when you see people that are registered in two states that voted in two states, when you see other things, when you see illegals, people that are not citizens, and they are on the registration rolls.",Non-citizens on voter rolls is a really bad situation,There's one study that came out of Pew in 2008 that showed 14 percent of people who voted were noncitizens.,Sean Spicer wrongly uses Pew study to bolster claim that non-citizens vote in large numbers,FALSE,https://www.politifact.com/truth-o-meter/statements/2017/jan/25/sean-spicer/sean-spicer-wrongly-uses-pew-study-bolster-claim-n/,
185,Donald Trump,"You have to remember, ObamaCare doesn't work.",Obamacare is a disaster,"Obamacare is ""hurting people right now"" with premium increases of up to 116 percent.",Testing Paul Ryan claim on Obamacare premium increases of up to 116 percent  PolitiFact Wisconsin,Mostly True,https://www.politifact.com/wisconsin/statements/2017/feb/03/paul-ryan/testing-paul-ryan-claim-obamacare-premium-increase/,
185,Donald Trump,"You have to remember, ObamaCare doesn't work.",Obamacare is a disaster,Obamacare has failed.,Testing Paul Ryan's damning attack on the Affordable Care Act 'Obamacare has failed'  PolitiFact Wisconsin,Mostly False,https://www.politifact.com/wisconsin/statements/2017/feb/01/paul-ryan/paul-ryans-damning-claim-affordable-care-act-obama/,
184,Donald Trump,ObamaCare is a disaster.,Obamacare is a disaster,"Obamacare is ""hurting people right now"" with premium increases of up to 116 percent.",Testing Paul Ryan claim on Obamacare premium increases of up to 116 percent  PolitiFact Wisconsin,Mostly True,https://www.politifact.com/wisconsin/statements/2017/feb/03/paul-ryan/testing-paul-ryan-claim-obamacare-premium-increase/,
184,Donald Trump,ObamaCare is a disaster.,Obamacare is a disaster,Obamacare has failed.,Testing Paul Ryan's damning attack on the Affordable Care Act 'Obamacare has failed'  PolitiFact Wisconsin,Mostly False,https://www.politifact.com/wisconsin/statements/2017/feb/01/paul-ryan/paul-ryans-damning-claim-affordable-care-act-obama/,
37,Donald Trump,"We gave them $1.7 billion in cash, which is unheard of.",Iran deal,"Says Hillary Clinton's Iran nuclear deal ""lined the pockets of the world's number one state sponsor of terrorism with your money.""","Iran nuclear deal was Hillary Clinton's, and it 'lined the pockets' of Iran with Americans' money?  PolitiFact Wisconsin",Mostly False,https://www.politifact.com/wisconsin/statements/2016/jul/29/reince-priebus/iran-nuclear-deal-was-hillary-clintons-and-it-line/,CONTEXT HARD TO GET
37,Donald Trump,"We gave them $1.7 billion in cash, which is unheard of.",Iran deal,"The Obama administration gave Iran ""400 million in ransom payment cash.""",Donald Trump's Mostly False claim that 400 million payment to Iran was 'ransom',Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/aug/24/donald-trump/donald-trump-calls-400-million-payment-iran-ransom/,CONTEXT HARD TO GET
