line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
32,"SEN. BERNIE SANDERS, I-VT","And by the way, women are considered a pre-existing condition by the insurance companies because they might have a baby.","Sanders ""Women are considered a pre-existing condition by the insurance companies because they might have a baby.""","Pregnant women trying to buy health insurance on their own are barred from maternity coverage because they have a ""pre-existing condition.""",AMA president says pregnant women are barred from buying individual health policies,TRUE,https://www.politifact.com/truth-o-meter/statements/2009/aug/18/j-james-rohack/ama-president-says-pregnant-women-are-barred-buyin/,
41,"SEN. BERNIE SANDERS, I-VT",The United States is the only major country on Earth not to guarantee health care to all people as a right.,"Sanders ""The United States is the only major country on Earth not to guarantee health care to all people as a right.""","The United States is ""the only major country on earth that doesn't guarantee health care to all people as a right, not a privilege.""",Bernie Sanders says U.S. is only major country that doesn't guarantee health care as a righ,Half-True,https://www.politifact.com/truth-o-meter/statements/2015/nov/15/bernie-s/bernie-sanders-says-us-only-major-country-doesnt-g/,
624,CRUZ,"And if you believe health care is a right, why on Earth did you help write Obamacare that caused six million people to have their health insurance canceled, that had them lose their doctors, and have people like LaRonda, who can't get health insurance, can't afford premiums...",Cruz Six million people had their insurance policies canceled because of Obamacare.,4.7 million people have lost their insurance in 32 states due to Obamacare.,Conservative talker Dana Loesch says 4.7 million people lack health insurance due to Obamacare  Pund,Mostly False,https://www.politifact.com/punditfact/statements/2014/nov/18/dana-loesch/conservative-talker-loesch-says-47-million-people-/,
265,CRUZ,Most of the people covered by Obamacare are on Medicaid.,Cruz Most of the people on Obamacare are covered by Medicaid.,"The vast majority of people that got insurance under President Obama's Obamacare, the Affordable Care Act, got it through Medicaid.","Medicaid expansion drove health insurance coverage under health law, Rand Paul says",Half-True,https://www.politifact.com/truth-o-meter/statements/2017/jan/15/rand-paul/medicaid-expansion-drove-health-insurance-coverage/,
314,CRUZ,"There are many people in America struggling with exactly what you are, in the wreckage of Obamacare, with skyrocketing premiums, with deductibles that are unaffordable, and with really limited care.","Cruz Obamacare premiums are ""skyrocketing.""","Obamacare is ""hurting people right now"" with premium increases of up to 116 percent.",Testing Paul Ryan claim on Obamacare premium increases of up to 116 percent  PolitiFact Wisconsin,Mostly True,https://www.politifact.com/wisconsin/statements/2017/feb/03/paul-ryan/testing-paul-ryan-claim-obamacare-premium-increase/,
360,CRUZ,"Indeed, I don't know if the cameras can see this, but in 70 percent of the counties in America, on Obamacare exchanges, you have a choice of one or two health insurance plans, that's it, 70 percent of the counties in America.","Cruz ""In 70 percent of the counties in America, on Obamacare exchanges, you have a choice of one or two health insurance plans, that's it.""",It's four or five states where the number of insurance options have narrowed under the Affordable Care Act.,Debbie Wasserman Schultz incorrectly says only 4 or 5 states have seen Obamacare insurers quit  PolitiFact Florid,FALSE,https://www.politifact.com/florida/statements/2016/oct/26/debbie-wasserman-schultz/debbie-wasserman-schultz-incorrectly-says-only-4-o/,
521,SANDERS,We should not be spending twice as much per person on health care as do the people of any other nation.,"Sanders The United States ""spends twice as much on health care"" as the next country.",We spend twice as much per capita on health care as any other nation on Earth.,Sanders says U.S. doubles every other country in per capita health spending,FALSE,https://www.politifact.com/truth-o-meter/statements/2009/aug/20/bernie-s/sanders-says-us-doubles-every-other-country-capita/,
521,SANDERS,We should not be spending twice as much per person on health care as do the people of any other nation.,"Sanders The United States ""spends twice as much on health care"" as the next country.",We spend almost twice as much per capita on health care as do the people of any other country.,Bernie Sanders repeats flawed claim about U.S. health care spending compared to other countries,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/aug/16/bernie-s/bernie-sanders-repeats-flawed-claim-about-us-healt/,
521,SANDERS,We should not be spending twice as much per person on health care as do the people of any other nation.,"Sanders The United States ""spends twice as much on health care"" as the next country.","The United States spends ""almost three times per capita what they spend in the U.K."" on health care and ""50 percent more than they pay in France.""",-checking Sanders' claim that U.S. spends 3 times per capita what the U.K. spends on health care,TRUE,https://www.politifact.com/truth-o-meter/statements/2015/dec/20/bernie-s/fact-checking-bernie-sanders-claim-us-spends-three/,
484,SANDERS,29ers are the millions of people across this country that have been forced into part-time work that used to have full-time employment and are now working 29 hours a week because Obamacare kicks in at 30 hours a week.,Cruz Millions of people across this country have been forced into part-time work that used to have full-time employment because of Obamacare.,"Because of Obamacare, you have so many part-time jobs.",Donald Trump wrongly claims there are many more part-time jobs because of health care law  PolitiFact Arizon,FALSE,https://www.politifact.com/arizona/statements/2016/jun/22/donald-trump/donald-trump-wrongly-claims-there-are-more-part-ti/,
