line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
105,Donald Trump,We got 306 because people came out and voted like they've never seen before so that's the way it goes.,Electoral College victory not biggest since Reagan,"We had a massive landslide victory, as you know, in the Electoral College.",Donald Trump's Electoral College victory was not a 'massive landslide',FALSE,https://www.politifact.com/truth-o-meter/statements/2016/dec/12/donald-trump/donald-trumps-electoral-college-victory-was-not-ma/,
106,Donald Trump,I guess it was the biggest electoral college win since Ronald Reagan.,Electoral College victory not biggest since Reagan,"We had a massive landslide victory, as you know, in the Electoral College.",Donald Trump's Electoral College victory was not a 'massive landslide',FALSE,https://www.politifact.com/truth-o-meter/statements/2016/dec/12/donald-trump/donald-trumps-electoral-college-victory-was-not-ma/,
177,Donald Trump,"In fact, we had to go quicker than we thought because of the bad decision we received from a circuit that has been overturned at a record number.",9th Circuit not most overturned,"The United States Court of Appeals for the 9th Circuitis ""the most overturned court in the country.""","No, the 9th Circuit isn't the 'most overturned court in the country,' as Hannity says  Pund",FALSE,https://www.politifact.com/punditfact/statements/2017/feb/10/sean-hannity/no-9th-circuit-isnt-most-overturned-court-country-/,
178,Donald Trump,"I have heard 80 percent, I find that hard to believe, that is just a number I heard, that they are overturned 80 percent of the time.",9th Circuit not most overturned,"The United States Court of Appeals for the 9th Circuitis ""the most overturned court in the country.""","No, the 9th Circuit isn't the 'most overturned court in the country,' as Hannity says  Pund",FALSE,https://www.politifact.com/punditfact/statements/2017/feb/10/sean-hannity/no-9th-circuit-isnt-most-overturned-court-country-/,
448,Donald Trump,"People -- I mean, you have a lower approval rate than Congress.","Mostly False Media has ""a lower approval rate than Congress.""","The media has ""a lower approval rate than Congress.""",Is news media less trusted than Congress?,Mostly False,https://www.politifact.com/truth-o-meter/statements/2017/feb/16/donald-trump/news-media-less-trusted-congress/,NEEDS CONTEXT
36,Donald Trump,"The stock market has hit record numbers, as you know.",Mostly True Trump says stock market record high shows optimism,"The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.",Trump hints stock market record high linked to optimism about his presidency,Mostly True,https://www.politifact.com/truth-o-meter/statements/2017/feb/16/donald-trump/trump-hints-stock-market-record-high-linked-presid/,
37,Donald Trump,"And there has been a tremendous surge of optimism in the business world, which is -- to me means something much different than it used to.",Mostly True Trump says stock market record high shows optimism,"The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.",Trump hints stock market record high linked to optimism about his presidency,Mostly True,https://www.politifact.com/truth-o-meter/statements/2017/feb/16/donald-trump/trump-hints-stock-market-record-high-linked-presid/,NEEDS CONTEXT
721,Donald Trump,We had Hillary Clinton give Russia 20 percent of the uranium in our country.,Mostly False Hillary Clinton gave Russia 20 percent of the United States uranium,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""","In a nuclear claim, Donald Trump says Hillary Clinton 'gave up' one-fifth of U.S. uranium to Russia  PolitiFact Wisconsin",Mostly False,https://www.politifact.com/wisconsin/statements/2016/sep/30/donald-trump/nuclear-claim-donald-trump-says-hillary-clinton-ga/,
277,Donald Trump,Because it's an illegal process and the press should be ashamed of themselves.,Trumps flip-flop on leaks,On leaks and the release of secret information.,Trump's flip-flop on leaks and the release of secret information,Full Flop,https://www.politifact.com/truth-o-meter/statements/2017/feb/16/donald-trump/trumps-flip-flop-leaks-and-release-secret-informat/,
471,Donald Trump,"Now, when WikiLeaks, which I had nothing to do with, comes out and happens to give, they're not giving classified information.",Trumps flip-flop on leaks,The Taliban went after and murdered people identified in the Chelsea Manning leaks.,McCain says Taliban 'murdered' people because of Chelsea Manning and WikiLeaks,Mostly False,https://www.politifact.com/truth-o-meter/statements/2017/feb/01/john-mccain/mccain-says-taliban-murdered-people-because-chelse/,
543,Donald Trump,And you have seen that they tried to hack us and they failed.,Russia didnt hack the Republicans,"The Russians ""tried to hack the Republican National Committee, and they were unable to break through.""",Trump says Russians were unable to hack the Republican National Committee,Mostly True,https://www.politifact.com/truth-o-meter/statements/2017/jan/11/donald-trump/trump-says-russians-were-unable-hack-republican-na/,
960,Donald Trump,I have nothing to do with Russia.,On his relationship with Putin,On whether hes had a relationship with Vladimir Putin.,Donald Trump gets a Full Flop for whether he's had a relationship to Vladimir Putin,Full Flop,https://www.politifact.com/truth-o-meter/statements/2016/aug/01/donald-trump/donald-trump-gets-full-flop-whether-hes-had-relati/,
961,Donald Trump,Haven't made a phone call to Russia in years.,On his relationship with Putin,On whether hes had a relationship with Vladimir Putin.,Donald Trump gets a Full Flop for whether he's had a relationship to Vladimir Putin,Full Flop,https://www.politifact.com/truth-o-meter/statements/2016/aug/01/donald-trump/donald-trump-gets-full-flop-whether-hes-had-relati/,
