line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
17,Donald Trump,"The next day they have a massive riot, and death, and problems.",Says he predicted Sweden riots,"Look at whats happening last night in Sweden. Sweden, who would believe this? Sweden. They took in large numbers. Theyre having problems like they never thought possible.",Donald Trump in Florida laments 'what's happening last night in Sweden.' But nothing happened,FALSE,https://www.politifact.com/truth-o-meter/statements/2017/feb/19/donald-trump/donald-trump-florida-rally-laments-attack-last-nig/,
59,Donald Trump,"Here, headline, for the front page of the New York Times , ""Wiretapped data used in inquiry of Trump aides.""",Says news sources confirmed his allegation that Barack Obama tapped his phones,Everybody acts like President Trump is the one that came up with this idea. ...There are multiple news outlets that have reported former President Barack Obama ordered wiretappingon Trump.,Why the White House defense of Trump wiretap accusation is misleading,FALSE,https://www.politifact.com/truth-o-meter/statements/2017/mar/05/sarah-huckabee-sanders/why-white-houses-defense-trump-accusing-obama-wire/,
59,Donald Trump,"Here, headline, for the front page of the New York Times , ""Wiretapped data used in inquiry of Trump aides.""",Says news sources confirmed his allegation that Barack Obama tapped his phones,"Says ""the New York Times wrote about"" Barack Obama wiretapping Donald Trump during the election.",Donald Trump says he learned Obama tapped his phones from the New York Times,FALSE,https://www.politifact.com/truth-o-meter/statements/2017/mar/16/donald-trump/donald-trump-says-he-learned-obama-tapped-his-phon/,
69,Michael Scherer,The claim that Muslims celebrated on 9-11 in New Jersey...,Stands by his claim that thousands in New Jersey cheered on 911,"I watched in Jersey City, N.J., where thousands and thousands of people were cheering as the World Trade Center collapsed.",-checking Trump's claim that thousands in New Jersey cheered when World Trade Center tumbled,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2015/nov/22/donald-trump/fact-checking-trumps-claim-thousands-new-jersey-ch/,
18,Donald Trump,"Huma [Abedin] and Anthony [Weiner], you know, what I tweeted about that whole deal, and then it turned out he had it, all of Hillary's email on his thing .",Says Anthony Weiner had all of Hillary Clintons emails,"The FBI has reopened its investigation into Hillary Clinton ... and discovered another 650,000 emails.",#NAME?,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/nov/01/donald-trump/fact-checking-donald-trump-fbi-probe-clinton-email/,
19,Donald Trump,"NATO, obsolete , because it doesn't cover terrorism.",On NATO and terrorism,"I had previously said that NATO was obsolete because it failed to deal adequately with terrorism. Since my comments, they have changed their policy and now have a new division focused on terror threats.",Donald Trump mischaracterizes NATO change and his role in,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/aug/16/donald-trump/donald-trump-mischaracterizes-nato-change-and-his-/,
20,Donald Trump,"They fixed that, and I said that the allies must pay.",On NATO and terrorism,"I had previously said that NATO was obsolete because it failed to deal adequately with terrorism. Since my comments, they have changed their policy and now have a new division focused on terror threats.",Donald Trump mischaracterizes NATO change and his role in,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/aug/16/donald-trump/donald-trump-mischaracterizes-nato-change-and-his-/,
177,Donald Trump,"And when Germany was over here I said, we are going to have a great relationship with Germany but you have to pay your NATO bills, and they don't even dispute it, ok.",On Allies financial support for NATO,"Germany owes ... vast sums of money to NATO  the United States must be paid more for the powerful, and very expensive, defense it provides to Germany!",-check Donald Trump says Germany owes 'vast sums of money to NATO',FALSE,https://www.politifact.com/truth-o-meter/statements/2017/mar/19/donald-trump/fact-check-donald-trump-says-germany-owes-vast-sum/,
67,Michael Scherer,"One of my ideas here is that throughout the campaign and now as president, you have used disputed statements, this is one of them that is disputed, the claim that three million undocumented people voted in the election...",Says 3 million undocumented people voted in the 2016 election,"Says he ""won the popular vote if you deduct the millions of people who voted illegally.""",Donald Trump's Pants on Fire claim that millions of illegal votes cost him popular vote victory,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/nov/28/donald-trump/donald-trumps-pants-fire-claim-millions-illegal-vo/,
67,Michael Scherer,"One of my ideas here is that throughout the campaign and now as president, you have used disputed statements, this is one of them that is disputed, the claim that three million undocumented people voted in the election...",Says 3 million undocumented people voted in the 2016 election,Report 3 million votes in presidential election cast by illegal aliens.,-check Did 3 million undocumented immigrants vote in this year's election?  Pund,FALSE,https://www.politifact.com/punditfact/statements/2016/nov/18/blog-posting/no-3-million-undocumented-immigrants-did-not-vote-/,
141,Donald Trump,"A Ted Cruz article referred to a newspaper story with, had a picture of Ted Cruz, his father, and Lee Harvey Oswald, having breakfast.",On Ted Cruzs father and Lee Harvey Oswald,"Says Ted Cruzs father ""was with Lee Harvey Oswald"" before the assassination of President John F. Kennedy.",Donald Trump's Pants on Fire claim linking Ted Cruz's father and JFK assassination,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/may/03/donald-trump/donald-trumps-ridiculous-claim-linking-ted-cruzs-f/,
261,Donald Trump,"I inherited a mess in the Middle East, and a mess with North Korea, I inherited a mess with jobs, despite the statistics, you know, my statistics are even better, but they are not the real statistics because you have millions of people that can't get a job, ok. And I inherited a mess on trade.",The official employment statistics are not real,"Don't believe those phony numbers when you hear 4.9 and 5 percent unemployment. The number's probably 28, 29, as high as 35. In fact, I even heard recently 42 percent.",Donald Trump repeats Pants on Fire claim that unemployment rate could be 42 percen,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/feb/11/donald-trump/donald-trump-repeats-pants-fire-claim-unemployment/,
261,Donald Trump,"I inherited a mess in the Middle East, and a mess with North Korea, I inherited a mess with jobs, despite the statistics, you know, my statistics are even better, but they are not the real statistics because you have millions of people that can't get a job, ok. And I inherited a mess on trade.",The official employment statistics are not real,"The unemployment rate may be as high as ""42 percent.""",Donald Trump says the unemployment rate may be 42 percen,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2015/sep/30/donald-trump/donald-trump-says-unemployment-rate-may-be-42-perc/,
261,Donald Trump,"I inherited a mess in the Middle East, and a mess with North Korea, I inherited a mess with jobs, despite the statistics, you know, my statistics are even better, but they are not the real statistics because you have millions of people that can't get a job, ok. And I inherited a mess on trade.",The official employment statistics are not real,Our real unemployment is anywhere from 18 to 20 percent. Don't believe the 5.6. Don't believe it.,Donald Trump says 'real' unemployment rate is 18 to 20 percen,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/jun/16/donald-trump/donald-trump-says-real-unemployment-rate-18-20-per/,
