line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
36,Donald Trump,"When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash -- in actual cash carried out in barrels and in boxes from airplanes.","The Obama administration ""made a horrible deal giving 150 billion, giving 1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes"" to Iran.","The nuclear deal gave Iran ""150 billion, giving 1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.""",Donald Trump says Iran got 150 billion and 1.8 billion in cash. That's Half True,Half-True,https://www.politifact.com/truth-o-meter/statements/2018/apr/27/donald-trump/donald-trump-iran-150-billion-and-18-billion-c/,
38,Donald Trump,"And all they do is scream death to America, death to America.","All they do is scream death to America, death to America. And by the way, they're not screaming it so much anymore.","Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.",Ted Cruz says Iran annually has Death to America holiday  PolitiFact Texas,Mostly False,https://www.politifact.com/texas/statements/2015/mar/13/ted-cruz/ted-cruz-says-iran-annually-has-death-america-holi/,
38,Donald Trump,"And all they do is scream death to America, death to America.","All they do is scream death to America, death to America. And by the way, they're not screaming it so much anymore.","Irans regime ""every Friday declares war on us.""",rmer White House aide Gorka says Iran 'every Friday declares war on us'  PolitiFact North Carolin,FALSE,https://www.politifact.com/north-carolina/statements/2017/nov/16/sebastian-gorka/fact-check-former-white-house-aide-says-iran-every/,
315,Donald Trump,"But Kanye looks and he sees black unemployment at the lowest it's been in the history of our country, OK?","Kanye looks, and he sees black unemployment at the lowest it's been in the history of our country, okay? He sees Hispanic unemployment at the lowest it's been in the history of our country. He sees, by the way, female unemployment  women unemployment the lowest it's been in now almost 19 years.",Kanye West looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees womens unemployment the lowest its been in now almost 19 years.,#NAME?,Mostly True,https://www.politifact.com/truth-o-meter/statements/2018/apr/26/donald-trump/donald-trump-target-remarks-unemployment-kanye/,
316,Donald Trump,He sees Hispanic unemployment at the lowest it's been in the history of our country.,"Kanye looks, and he sees black unemployment at the lowest it's been in the history of our country, okay? He sees Hispanic unemployment at the lowest it's been in the history of our country. He sees, by the way, female unemployment  women unemployment the lowest it's been in now almost 19 years.",Kanye West looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees womens unemployment the lowest its been in now almost 19 years.,#NAME?,Mostly True,https://www.politifact.com/truth-o-meter/statements/2018/apr/26/donald-trump/donald-trump-target-remarks-unemployment-kanye/,
317,Donald Trump,"He sees, by the way, female unemployment -- women unemployment the lowest it's been in now almost 19 years.","Kanye looks, and he sees black unemployment at the lowest it's been in the history of our country, okay? He sees Hispanic unemployment at the lowest it's been in the history of our country. He sees, by the way, female unemployment  women unemployment the lowest it's been in now almost 19 years.",Kanye West looks and he sees black unemployment at the lowest its been in the history of our country. He sees Hispanic unemployment at the lowest its been in the history of our country. He sees womens unemployment the lowest its been in now almost 19 years.,#NAME?,Mostly True,https://www.politifact.com/truth-o-meter/statements/2018/apr/26/donald-trump/donald-trump-target-remarks-unemployment-kanye/,
544,Donald Trump,-- what I've been able to do and I did it despite the fact that I have a phony cloud over my head that doesn't exist.,"Nobody has done what I've been able to do, and I did it despite the fact that I have a phony cloud over my head that doesnt exist. It was what the Democrats used to try and make an excuse for their loss of an election.",This Russia thing with Trump and Russia is a made-up story. It's an excuse by the Democrats for having lost an election that they should've won.,Donald Trump's Pants on Fire claim Russia story 'made-up' by Democrats,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2017/may/12/donald-trump/trump-calls-trump-russia-story-made-/,NOT SURE
545,Donald Trump,It was what the Democrats used to try and make an excuse for their loss of an election -- for their loss of the Electoral College that they should never lose because the Electoral College is set up perfectly for the Democrats and this was an absolute total beating in the Electoral College.,"Nobody has done what I've been able to do, and I did it despite the fact that I have a phony cloud over my head that doesnt exist. It was what the Democrats used to try and make an excuse for their loss of an election.",This Russia thing with Trump and Russia is a made-up story. It's an excuse by the Democrats for having lost an election that they should've won.,Donald Trump's Pants on Fire claim Russia story 'made-up' by Democrats,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2017/may/12/donald-trump/trump-calls-trump-russia-story-made-/,
545,Donald Trump,It was what the Democrats used to try and make an excuse for their loss of an election -- for their loss of the Electoral College that they should never lose because the Electoral College is set up perfectly for the Democrats and this was an absolute total beating in the Electoral College.,"This was an absolute, total beating in the Electoral College.","We had a massive landslide victory, as you know, in the Electoral College.",Donald Trump's Electoral College victory was not a 'massive landslide',FALSE,https://www.politifact.com/truth-o-meter/statements/2016/dec/12/donald-trump/donald-trumps-electoral-college-victory-was-not-ma/,
553,Donald Trump,The people that are doing the investigation -- you have 13 people that are Democrats.,The people that are doing the investigation  you have 13 people that are Democrats. You have Hillary Clinton people.,"Robert Muellers investigative team has ""13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans.""",-checking Donald Trump's claims about Democrats on Robert Mueller's team,Half-True,https://www.politifact.com/truth-o-meter/statements/2018/mar/21/donald-trump/fact-checking-donald-trumps-claims-about-Mueller/,
