line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
1,LESLEY STAHL,Do you still think that climate change is a hoax?,"Stahl ""Do you still think that climate change is a hoax?""Trump ""I think something's happening. Something's changing and it'll change back again. I don't think it's a hoax, I think there's probably a difference. But I don't know that it's man-made.""",Global warming is a hoax.,"Global warming is a hoax, says Louisiana congressional hopeful Lenar Whitney",Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2014/aug/01/lenar-whitney/republican-congressional-hopeful-says-global-warmi/,
1,LESLEY STAHL,Do you still think that climate change is a hoax?,"Stahl ""Do you still think that climate change is a hoax?""Trump ""I think something's happening. Something's changing and it'll change back again. I don't think it's a hoax, I think there's probably a difference. But I don't know that it's man-made.""","Says ""Donald Trump says climate change is a hoax invented by the Chinese.""","Yes, Donald Trump did call climate change a Chinese hoax",Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jun/03/hillary-clinton/yes-donald-trump-did-call-climate-change-chinese-h/,
4,TRUMP,"I don't think it's a hoax, I think there's probably a difference.","Stahl ""Do you still think that climate change is a hoax?""Trump ""I think something's happening. Something's changing and it'll change back again. I don't think it's a hoax, I think there's probably a difference. But I don't know that it's man-made.""",Global warming is a hoax.,"Global warming is a hoax, says Louisiana congressional hopeful Lenar Whitney",Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2014/aug/01/lenar-whitney/republican-congressional-hopeful-says-global-warmi/,
4,TRUMP,"I don't think it's a hoax, I think there's probably a difference.","Stahl ""Do you still think that climate change is a hoax?""Trump ""I think something's happening. Something's changing and it'll change back again. I don't think it's a hoax, I think there's probably a difference. But I don't know that it's man-made.""","Says ""Donald Trump says climate change is a hoax invented by the Chinese.""","Yes, Donald Trump did call climate change a Chinese hoax",Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jun/03/hillary-clinton/yes-donald-trump-did-call-climate-change-chinese-h/,
5,TRUMP,But I don't know that it's manmade.,"Stahl ""Do you still think that climate change is a hoax?""Trump ""I think something's happening. Something's changing and it'll change back again. I don't think it's a hoax, I think there's probably a difference. But I don't know that it's man-made.""","Says ""Donald Trump says climate change is a hoax invented by the Chinese.""","Yes, Donald Trump did call climate change a Chinese hoax",Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jun/03/hillary-clinton/yes-donald-trump-did-call-climate-change-chinese-h/,WEAK
5,TRUMP,But I don't know that it's manmade.,"Stahl ""Do you still think that climate change is a hoax?""Trump ""I think something's happening. Something's changing and it'll change back again. I don't think it's a hoax, I think there's probably a difference. But I don't know that it's man-made.""","Says ""Donald Trump says climate change is a hoax invented by the Chinese.""","Yes, Donald Trump did call climate change a Chinese hoax",Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jun/03/hillary-clinton/yes-donald-trump-did-call-climate-change-chinese-h/,WEAK
209,TRUMP,I told President Xi we cannot continue to have China take $500 billion a year out of the United States in the form of trade and others things.,I told President Xi we cannot continue to have China take 500 billion a year out of the United States in the form of trade and others things.,Last year we lost 500 billion on trade with China.,Did the U.S. have a 500 billion deficit with China in 2017?,Mostly False,https://www.politifact.com/truth-o-meter/statements/2018/mar/28/donald-trump/did-us-have-500-billion-deficit-china-2017/,
209,TRUMP,I told President Xi we cannot continue to have China take $500 billion a year out of the United States in the form of trade and others things.,I told President Xi we cannot continue to have China take 500 billion a year out of the United States in the form of trade and others things.,Were losing now over 500 billion a year in terms of imbalance with China.,Trump says that trade imbalance between U.S. and China tops 500B,Mostly False,https://www.politifact.com/truth-o-meter/statements/2015/nov/10/donald-trump/trump-says-trade-imbalance-between-us-and-china-to/,
209,TRUMP,I told President Xi we cannot continue to have China take $500 billion a year out of the United States in the form of trade and others things.,I told President Xi we cannot continue to have China take 500 billion a year out of the United States in the form of trade and others things.,"We do have a Trade Deficit with Canada, as we do with almost all countries some of them massive.",Here's what's wrong about Donald Trump's attack on Canada trade def,Mostly False,https://www.politifact.com/truth-o-meter/statements/2018/mar/15/donald-trump/donald-trumps-misleading-tweet-trade-canada-rest-w/,NOT SURE
264,TRUMP,We shouldn't be paying almost the entire cost of NATO to protect Europe.,We shouldn't be paying almost the entire cost of NATO to protect Europe.,"The United States was paying for anywhere from 70 to 90 percent of NATO, depending on the way you calculate.","Donald Trump misleads on US defense spending, NATO budge",Mostly False,https://www.politifact.com/truth-o-meter/statements/2018/jul/12/donald-trump/donald-trump-misleads-us-defense-spending-nato-bud/,
300,TRUMP,I'm the one that gave Ukraine offensive weapons and tank killers.,I'm the one that gave Ukraine offensive weapons and tank killers. Obama didn't.,"I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!",Has Donald Trump 'been much tougher on Russia' than Barack Obama?,Mostly False,https://www.politifact.com/truth-o-meter/statements/2018/feb/20/donald-trump/has-donald-trump-been-much-tougher-russia-barack-o/,WEAK
373,TRUMP,They wouldn't be able to help me at all.,Do you really think I'd call Russia to help me with an election? Give me a break. They wouldn't be able to help me at all. Call Russia. It's so ridiculous.,"Says Donald Trump ""publicly invited Putin to hack into Americans emails.""",Hillary Clinton claims Donald Trump invited Russian President Vladimir Putin  to hack Americans,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/hillary-clinton/hillary-clinton-claims-donald-trump-invited-russia/,WEAK
397,LESLEY STAHL,What about the forced separation of children from their-- migrant children--,"Stahl ""What about the forced separation of children?""Trump ""That was the same as the Obama law. You know, Obama had the same thing.""","The Trump administrations policy of separating families is ""the same way Barack Obama did it.""","No, Donald Trumps separation of immigrant families was not Barack Obamas policy  Pund",FALSE,https://www.politifact.com/punditfact/statements/2018/jun/19/matt-schlapp/no-donald-trumps-separation-immigrant-families-was/,
397,LESLEY STAHL,What about the forced separation of children from their-- migrant children--,"Stahl ""What about the forced separation of children?""Trump ""That was the same as the Obama law. You know, Obama had the same thing.""","A ""horrible law"" requires that children be separated from their parents ""once they cross the Border into the U.S.""",Donald Trump blames Democrats for own immigration policy separating families,FALSE,https://www.politifact.com/truth-o-meter/statements/2018/may/29/donald-trump/trump-blames-democrat-own-policy-separating-family/,
401,TRUMP,the same as the Obama law.,"Stahl ""What about the forced separation of children?""Trump ""That was the same as the Obama law. You know, Obama had the same thing.""","The Trump administrations policy of separating families is ""the same way Barack Obama did it.""","No, Donald Trumps separation of immigrant families was not Barack Obamas policy  Pund",FALSE,https://www.politifact.com/punditfact/statements/2018/jun/19/matt-schlapp/no-donald-trumps-separation-immigrant-families-was/,WEAK
401,TRUMP,the same as the Obama law.,"Stahl ""What about the forced separation of children?""Trump ""That was the same as the Obama law. You know, Obama had the same thing.""","A ""horrible law"" requires that children be separated from their parents ""once they cross the Border into the U.S.""",Donald Trump blames Democrats for own immigration policy separating families,FALSE,https://www.politifact.com/truth-o-meter/statements/2018/may/29/donald-trump/trump-blames-democrat-own-policy-separating-family/,WEAK
402,TRUMP,"You know, Obama had the same thing.","Stahl ""What about the forced separation of children?""Trump ""That was the same as the Obama law. You know, Obama had the same thing.""","The Trump administrations policy of separating families is ""the same way Barack Obama did it.""","No, Donald Trumps separation of immigrant families was not Barack Obamas policy  Pund",FALSE,https://www.politifact.com/punditfact/statements/2018/jun/19/matt-schlapp/no-donald-trumps-separation-immigrant-families-was/,WEAK
402,TRUMP,"You know, Obama had the same thing.","Stahl ""What about the forced separation of children?""Trump ""That was the same as the Obama law. You know, Obama had the same thing.""","A ""horrible law"" requires that children be separated from their parents ""once they cross the Border into the U.S.""",Donald Trump blames Democrats for own immigration policy separating families,FALSE,https://www.politifact.com/truth-o-meter/statements/2018/may/29/donald-trump/trump-blames-democrat-own-policy-separating-family/,WEAK
405,LESLEY STAHL,You launched that-- the zero tolerance policy-- to deter families with children coming--,"Stahl ""What about the forced separation of children?""Trump ""That was the same as the Obama law. You know, Obama had the same thing.""","The Trump administrations policy of separating families is ""the same way Barack Obama did it.""","No, Donald Trumps separation of immigrant families was not Barack Obamas policy  Pund",FALSE,https://www.politifact.com/punditfact/statements/2018/jun/19/matt-schlapp/no-donald-trumps-separation-immigrant-families-was/,
405,LESLEY STAHL,You launched that-- the zero tolerance policy-- to deter families with children coming--,"Stahl ""What about the forced separation of children?""Trump ""That was the same as the Obama law. You know, Obama had the same thing.""","A ""horrible law"" requires that children be separated from their parents ""once they cross the Border into the U.S.""",Donald Trump blames Democrats for own immigration policy separating families,FALSE,https://www.politifact.com/truth-o-meter/statements/2018/may/29/donald-trump/trump-blames-democrat-own-policy-separating-family/,
86,TRUMP,"There has been no administration in the history of our country, and I say this openly and proudly, that in its first two years--","There has been no administration in the history of our country, and I say this openly and proudly, that in its first two years accomplished more.",We have signed more legislation than anybody. We broke the record of Harry Truman.,Has Donald Trump signed more bills than anyone? No. His count ranks last,FALSE,https://www.politifact.com/truth-o-meter/statements/2017/dec/29/donald-trump/has-donald-trump-signed-more-bills-anyone-no/,
