line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
242,,"UNDER MAYOR GILLUM'S LEADERSHIP, TALLAHASSEE IS THE MOST CRIME-RIDDEN CITY IN THE STATE OF FLORIDA.",Crime in Tallahassee,"Says Tallahassee ""is experiencing a five-year low in our crime rate.""",Andrew Gillum says crime dropping in Tallahassee  PolitiFact Florid,Mostly True,https://www.politifact.com/florida/statements/2018/oct/08/andrew-gillum/andrew-gillum-says-crime-dropping-tallahassee/,
242,,"UNDER MAYOR GILLUM'S LEADERSHIP, TALLAHASSEE IS THE MOST CRIME-RIDDEN CITY IN THE STATE OF FLORIDA.",Crime in Tallahassee,"Says Andrew Gillum ""oversaw a 52 percent increase in murder.""",rida PAC levels scary and misleading claim about Tallahassee's murder rate under Andrew Gillum  PolitiFact Florid,Mostly False,https://www.politifact.com/florida/statements/2018/oct/19/florida-strong/florida-pac-video-wrongly-blames-andrew-gillum-tal/,
133,,"IF YOU ARE A CANCER PATIENT, IF YOU HAVE DIABETES, IF YOU'RE A PREGNANT WOMAN, THAT IS A PRE-EXISTING CONDITION.",Distortions on health care,"In Congress, Ron DeSantis demanded that any new health law eliminate protections for people with pre-existing conditions.",#NAME?,Half-True,https://www.politifact.com/florida/statements/2018/oct/18/andrew-gillum/fact-checking-attack-ron-desantis-about-pre-existi/,
147,,HE ALLOWED INSURANCE COMPANIES TO DISCRIMINATE BASED ON PRE-EXISTING CONDITIONS.,Distortions on health care,"In Congress, Ron DeSantis demanded that any new health law eliminate protections for people with pre-existing conditions.",#NAME?,Half-True,https://www.politifact.com/florida/statements/2018/oct/18/andrew-gillum/fact-checking-attack-ron-desantis-about-pre-existi/,
139,,"IF SOMETHING FALLS THROUGH THE CRACK SCUM IF THERE IS A CHANGE FEDERALLY, I KNOW PEOPLE IN THE MILITARY, PEOPLE WITH PRE-EXISTING CONDITIONS -- HE RAN COMMERCIALS IN THE PRIMARIES , MEDICARE FOR ALL TAKES AWAY TRI-CARE, FORCES PEOPLE ONTO A GOVERNMENT PLAN.",Distortions on health care,"In Congress, Ron DeSantis demanded that any new health law eliminate protections for people with pre-existing conditions.",#NAME?,Half-True,https://www.politifact.com/florida/statements/2018/oct/18/andrew-gillum/fact-checking-attack-ron-desantis-about-pre-existi/,
150,,HE SAID YOU CAN ALWAYS GO TO THE EMERGENCY ROOM.,Distortions on health care,"When Ron DeSantis was asked what cancer patients should do without health insurance, DeSantis said 'show up to the emergency room.'",Did Ron DeSantis say cancer patients should be treated at emergency rooms?  PolitiFact Florid,Half-True,https://www.politifact.com/florida/statements/2018/oct/18/andrew-gillum/florida-democrats-say-ron-desantis-wants-send-canc/,NEEDS CONTEXT
149,,"HE TOLD A CANCER PATIENT WHO WANTED TO KNOW, WITHOUT INSURANCE COVERAGE, HOW WOULD THEY GET ACCESS TO HEALTH CARE?",Distortions on health care,"When Ron DeSantis was asked what cancer patients should do without health insurance, DeSantis said 'show up to the emergency room.'",Did Ron DeSantis say cancer patients should be treated at emergency rooms?  PolitiFact Florid,Half-True,https://www.politifact.com/florida/statements/2018/oct/18/andrew-gillum/florida-democrats-say-ron-desantis-wants-send-canc/,
243,,"LAST YEAR, THE HIGHEST NUMBER OF MURDERS IN THE HISTORY OF THE CITY.",Crime in Tallahassee,"Says Tallahassee ""is experiencing a five-year low in our crime rate.""",Andrew Gillum says crime dropping in Tallahassee  PolitiFact Florid,Mostly True,https://www.politifact.com/florida/statements/2018/oct/08/andrew-gillum/andrew-gillum-says-crime-dropping-tallahassee/,
243,,"LAST YEAR, THE HIGHEST NUMBER OF MURDERS IN THE HISTORY OF THE CITY.",Crime in Tallahassee,"Says Andrew Gillum ""oversaw a 52 percent increase in murder.""",rida PAC levels scary and misleading claim about Tallahassee's murder rate under Andrew Gillum  PolitiFact Florid,Mostly False,https://www.politifact.com/florida/statements/2018/oct/19/florida-strong/florida-pac-video-wrongly-blames-andrew-gillum-tal/,
252,,I PRESIDE RIGHT NOW OVER A CITY THAT IS EXPERIENCING A FIVE-YEAR LOW IN OUR CRIME RATE AND WE ARE ON TRAJECTORY TO BE AT A 20 YEAR LOW.,Crime in Tallahassee,"Says Tallahassee ""is experiencing a five-year low in our crime rate.""",Andrew Gillum says crime dropping in Tallahassee  PolitiFact Florid,Mostly True,https://www.politifact.com/florida/statements/2018/oct/08/andrew-gillum/andrew-gillum-says-crime-dropping-tallahassee/,
