line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
472,DELANEY,"That's all I'm saying -- that his math is wrong, it's been well-documented that if all the bills were paid at Medicare rate, which is specifically -- I think it's in section 1,200 of their bill, then many hospitals in this country would close.","John Delaney, former Maryland congressman ""It's been well documented that if all the bills were paid at Medicare rate, which is specifically  I think its in section 1,200 of their bill  then many hospitals in this country would close. Ive been going around rural America and I ask rural hospital administrators one question If all your bills were paid at the Medicare rate last year, what would happen? And they all look at me and say, We would close.""","If you go to every hospital in this country and you ask them one question, which is, How would it have been for you last year if every one of your bills were paid at the Medicare rate? Every single hospital administrator said they would close.",John Delaneys debate claim that Medicare for All will shutter hospitals is unsubstantiated  PolitiFact Health Check,FALSE,https://www.politifact.com/health-check/statements/2019/jun/27/john-delaney/delaneys-debate-claim-medicare-all-will-shutter-ho/,
473,DELANEY,"I've been going around rural America, and I ask rural hospital administrators one question, ""If all your bills were paid at the Medicare rate last year, what would happen?""","John Delaney, former Maryland congressman ""It's been well documented that if all the bills were paid at Medicare rate, which is specifically  I think its in section 1,200 of their bill  then many hospitals in this country would close. Ive been going around rural America and I ask rural hospital administrators one question If all your bills were paid at the Medicare rate last year, what would happen? And they all look at me and say, We would close.""","If you go to every hospital in this country and you ask them one question, which is, How would it have been for you last year if every one of your bills were paid at the Medicare rate? Every single hospital administrator said they would close.",John Delaneys debate claim that Medicare for All will shutter hospitals is unsubstantiated  PolitiFact Health Check,FALSE,https://www.politifact.com/health-check/statements/2019/jun/27/john-delaney/delaneys-debate-claim-medicare-all-will-shutter-ho/,
474,DELANEY,"And they all look at me and say, ""We would close.""","John Delaney, former Maryland congressman ""It's been well documented that if all the bills were paid at Medicare rate, which is specifically  I think its in section 1,200 of their bill  then many hospitals in this country would close. Ive been going around rural America and I ask rural hospital administrators one question If all your bills were paid at the Medicare rate last year, what would happen? And they all look at me and say, We would close.""","If you go to every hospital in this country and you ask them one question, which is, How would it have been for you last year if every one of your bills were paid at the Medicare rate? Every single hospital administrator said they would close.",John Delaneys debate claim that Medicare for All will shutter hospitals is unsubstantiated  PolitiFact Health Check,FALSE,https://www.politifact.com/health-check/statements/2019/jun/27/john-delaney/delaneys-debate-claim-medicare-all-will-shutter-ho/,NOT SURE
522,WARREN,"So the problem is that, right now, the criminalization statute is what gives Donald Trump the ability to take children away from their parents.","Elizabeth Warren, Massachusetts senator ""So, the problem is that right now the criminalization statute is what gives Donald Trump the ability to take children away from their parents.""","Says that the George W. Bush administration in 2005 revived a long-standing law when it ""decided to charge those that crossed the border with criminal violations, rather than civil ones.""",-checking Julian Castro on Bush's 2005 immigration policy  PolitiFact Texas,Mostly True,https://www.politifact.com/texas/statements/2019/apr/05/julian-castro/fact-checking-julian-castro-bushs-2005-immigration/,
138,SANDERS,"Right now, we have a dysfunctional health care system","Bernie Sanders, Vermont senator ""Right now, we have a dysfunctional health-care system. Eighty-seven million uninsured or under-insured, 500,000 Americans every year going bankrupt because of medical bills, 30,000 people dying while the health-care industry makes tens of billions of dollars in profit.""","30,000 Americans a year die waiting for health care because of the cost.","uzzy math fuels Sanders claim that cost barriers to health care kill 30,000 a year  PolitiFact Health Check",Half-True,https://www.politifact.com/health-check/statements/2019/jun/24/bernie-sanders/fuzzy-math-fuels-sanders-claim-cost-barriers-healt/,
139,SANDERS,"87 million uninsured or underinsured, $500,000 -- 500,000 Americans every year, going bankrupt because of medical bills, 30,000 people dying while the health care industry makes tens of billions of dollars in profit.","Bernie Sanders, Vermont senator ""Right now, we have a dysfunctional health-care system. Eighty-seven million uninsured or under-insured, 500,000 Americans every year going bankrupt because of medical bills, 30,000 people dying while the health-care industry makes tens of billions of dollars in profit.""","30,000 Americans a year die waiting for health care because of the cost.","uzzy math fuels Sanders claim that cost barriers to health care kill 30,000 a year  PolitiFact Health Check",Half-True,https://www.politifact.com/health-check/statements/2019/jun/24/bernie-sanders/fuzzy-math-fuels-sanders-claim-cost-barriers-healt/,
1541,WARREN,We can provide universal childcare from zero to five.,"Elizabeth Warren Says her wealth tax will provide ""universal child care,"" ""universal pre-K,"" ""raise the wages of every child care worker and preschool teacher in the country,"" ""universal tuition free college,"" support historically black colleges and universities, and ""cancel student loan debt for 95 of the people who have it.""","Of the 14 wealthy OECD countries with a wealth tax in 1996, 10 have since then abandoned it.",Skeptic of Elizabeth Warren's plan says 10 European countries scrapped wealth taxes  Pund,Mostly True,https://www.politifact.com/punditfact/statements/2019/may/10/joel-griffith/some-countries-ditched-wealth-taxes-what-might-mea/,
1542,WARREN,We can provide universal pre-K for every 3-year-old and 4-year-old.,"Elizabeth Warren Says her wealth tax will provide ""universal child care,"" ""universal pre-K,"" ""raise the wages of every child care worker and preschool teacher in the country,"" ""universal tuition free college,"" support historically black colleges and universities, and ""cancel student loan debt for 95 of the people who have it.""","Of the 14 wealthy OECD countries with a wealth tax in 1996, 10 have since then abandoned it.",Skeptic of Elizabeth Warren's plan says 10 European countries scrapped wealth taxes  Pund,Mostly True,https://www.politifact.com/punditfact/statements/2019/may/10/joel-griffith/some-countries-ditched-wealth-taxes-what-might-mea/,
1543,WARREN,We can raise the wages of every childcare worker and preschool teacher in this country.,"Elizabeth Warren Says her wealth tax will provide ""universal child care,"" ""universal pre-K,"" ""raise the wages of every child care worker and preschool teacher in the country,"" ""universal tuition free college,"" support historically black colleges and universities, and ""cancel student loan debt for 95 of the people who have it.""","Of the 14 wealthy OECD countries with a wealth tax in 1996, 10 have since then abandoned it.",Skeptic of Elizabeth Warren's plan says 10 European countries scrapped wealth taxes  Pund,Mostly True,https://www.politifact.com/punditfact/statements/2019/may/10/joel-griffith/some-countries-ditched-wealth-taxes-what-might-mea/,
1544,WARREN,We can provide universal tuition-free college.,"Elizabeth Warren Says her wealth tax will provide ""universal child care,"" ""universal pre-K,"" ""raise the wages of every child care worker and preschool teacher in the country,"" ""universal tuition free college,"" support historically black colleges and universities, and ""cancel student loan debt for 95 of the people who have it.""","Of the 14 wealthy OECD countries with a wealth tax in 1996, 10 have since then abandoned it.",Skeptic of Elizabeth Warren's plan says 10 European countries scrapped wealth taxes  Pund,Mostly True,https://www.politifact.com/punditfact/statements/2019/may/10/joel-griffith/some-countries-ditched-wealth-taxes-what-might-mea/,
