1	CHUCK TODD	This Sunday, the Republican party coming apart.	0
2	DONALD TRUMP	It really looks like a massive victory.	0
3	CHUCK TODD	Donald Trump wraps up the Republican nomination and effectively tells G.O.P.	0
4	CHUCK TODD	leaders, "It's my party and you can cry if you want to."	0
5	DONALD TRUMP	Our thing, it’s very simple, it’s make America great again.	0
6	CHUCK TODD	My interview with the Republican party's presumptive nominee, Donald Trump.	0
7	CHUCK TODD	Plus, it's a simple fact, divided parties lose elections.	0
8	CHUCK TODD	Republican voters embrace Trump, the Republican leadership says, "No way."	0
9	SPEAKER PAUL RYAN	I'm just not ready to do that at this point.	0
10	CHUCK TODD	Can Donald Trump become the first candidate in more than half a century to win an election without a united party behind him?	0
11	CHUCK TODD	Also, don't look now, but the general election has already begun.	0
12	DONALD TRUMP	I can focus on Hillary.	0
13	DONALD TRUMP	Crooked Hillary.	0
14	SEC. HILLARY CLINTON	He doesn't think much of equal pay for women because, of course, he doesn't think much of women.	0
15	CHUCK TODD	Even S.N.L.	0
16	CHUCK TODD	is looking towards November.	0
17	DANA CARVEY	And now we've landed on the exciting presidential match-up between a godless, liberal Democrat and Hillary Clinton.	0
18	CHUCK TODD	Joining me for insight and analysis this Sunday morning are Eugene Robinson, Pulitzer-Prize-winning columnist for The Washington Post, Andrea Mitchell of NBC News, Matt Bai, national political correspondent for Yahoo News, and Republican strategist and pollster, Kellyanne Conway.	0
19	CHUCK TODD	Welcome to Sunday.	0
20	CHUCK TODD	It's Meet the Press.	0
21	ANNOUNCER	From NBC News in Washington, this is Meet the Press with Chuck Todd.	0
22	CHUCK TODD	Good Sunday morning, happy Mother's Day to all the moms out there watching.	0
23	CHUCK TODD	This may well be this generation's defining moment in American politics, particularly for Republicans.	0
24	CHUCK TODD	The Republican party splitting apart as it turns its back on its new presumptive nominee: Donald Trump.	0
25	CHUCK TODD	What we're witnessing is nothing short of what you might call tissue rejection.	0
26	CHUCK TODD	Conservatives who warn that Trump would ultimately prove he's not one of them, are having their own, "I told you so" moment.	0
27	CHUCK TODD	During the primaries, Trump said he was opposed to raising the minimum wage.	0
28	CHUCK TODD	Now he says he's open to raising it.	0
29	CHUCK TODD	During the primaries, Trump put out a plan lowering taxes on everybody, including the wealthy, now he says he's open to raising taxes for the wealthiest Americans.	0
30	CHUCK TODD	And during the primaries, Trump insisted over and over again he would self-fund his campaign, and now he says he's building a world-class finance organization aimed at raising money for his campaign.	0
31	CHUCK TODD	That, and so much more, has led a long parade of prominent Republicans to say either they can't support Trump or they have to think it over.	0
32	CHUCK TODD	We'll get to my interview with Donald Trump in just a moment, but one thing is clear.	0
33	CHUCK TODD	He begins his campaign as a the presumptive nominee of a party, whose leadership A) didn't want him, and B) is deeply reluctant to rally around him.	0
34	CHUCK TODD	In short, is the Republican party wigging out?	0
35	SYSTEM	(BEGIN TAPE)	0
36	SPEAKER PAUL RYAN	I'm not there right now.	0
37	SPEAKER PAUL RYAN	And I hope to though, and I want to.	0
38	SPEAKER PAUL RYAN	But I think what is required is that we unify this party.	0
39	CHUCK TODD	Donald Trump is facing a rejection from Republican party leaders that is unprecedented in modern politics.	0
40	SEN. LINDSEY GRAHAM	I think Donald Trump's a kind of man.	0
41	SEN. LINDSEY GRAHAM	I'm not going to support somebody I don't believe is a reliable Republican conservative.	0
42	CHUCK TODD	Nebraska senator Ben Sasse says, "A third-party candidate is the only solution."	0
43	CHUCK TODD	Quote, "This is America.	0
44	CHUCK TODD	If both choices stink, we reject them and go bigger."	0
45	CHUCK TODD	The only two living Republican presidents, both Bushes, are also no's, refusing to endorse Trump and skipping the Republican Convention after a campaign of insults to Jeb.	0
46	DONALD TRUMP	He’s low energy.	0
47	DONALD TRUMP	Let's be sure.	0
48	CHUCK TODD	The 2012 nominee, also a no, is being courted to run as an independent.	0
49	CHUCK TODD	So far, Mitt Romney is not interested.	0
50	CHUCK TODD	The 2008 nominee, with a primary in August, is a reluctant yes, but also staying away from Cleveland in July.	0
51	SEN. JOHN MCCAIN	If there is a Donald Trump at the top of the ticket, I have no doubt that this may be the race of my life.	0
52	CHUCK TODD	Even the chair of the convention is sending a signal to donors and voters that it's okay to stay on the bench.	0
53	SPEAKER PAUL RYAN	I think the bulk of the burden on unifying the party will have to come from our presumptive nominee.	0
54	DONALD TRUMP	I didn't get Paul Ryan.	0
55	DONALD TRUMP	I don't know what happened.	0
56	DONALD TRUMP	I don't know.	0
57	DONALD TRUMP	All of a sudden, he wants to be cute.	0
58	DONALD TRUMP	But, you know, we'll see.	0
59	CHUCK TODD	With a meeting planned in Washington next week, the chill could thaw.	0
60	CHUCK TODD	And some Trump skeptics are coming around, including Rick Perry, who said this just months ago:	0
61	GOV. RICK PERRY	Donald Trump's candidacy is a cancer on conservatism.	0
62	CHUCK TODD	But Trump begins the general election as a scarred candidate, trailing by 23 points among women, and leading by just three points among men.	0
63	SEC. HILLARY CLINTON	He doesn't think much of equal pay for women because, of course, he doesn't think much of women, it turns out.	0
64	CHUCK TODD	But for Trump, the attacks are going to be personal.	0
65	DONALD TRUMP	And she was a total enabler.	0
66	DONALD TRUMP	She would go after these women and destroy their lives.	0
67	DONALD TRUMP	I mean, have you ever read what Hillary Clinton did to the women that Bill Clinton had affairs with?	0
68	DONALD TRUMP	And they're going after me with women?	0
69	DONALD TRUMP	Give me a break, folks.	0
70	SYSTEM	(END TAPE)	0
71	CHUCK TODD	Yesterday I spoke with Mr. Trump.	0
72	CHUCK TODD	And I began by asking if he was surprised to have already wrapped up the Republican nomination.	0
73	SYSTEM	(BEGIN TAPE)	0
74	DONALD TRUMP	Well, I thought I'd do it.	0
75	DONALD TRUMP	I didn't know I was going to do it this early.	0
76	DONALD TRUMP	I assumed that Hillary would be watching me, as opposed to me watching Hillary.	0
77	DONALD TRUMP	So that's good.	0
78	DONALD TRUMP	And it's going to be an interesting things, because Bernie Sanders is not being treated fairly.	0
79	DONALD TRUMP	Not being treated fairly.	0
80	DONALD TRUMP	You know, it's a rigged system against him also.	0
81	DONALD TRUMP	I'm no Bernie fan, I can tell you that.	0
82	DONALD TRUMP	But it is a rigged system.	0
83	CHUCK TODD	Do you believe the system is-- the Republican system was pretty rigged too, even though you're winning it?	0
84	DONALD TRUMP	Yeah, totally rigged.	0
85	DONALD TRUMP	It was totally rigged.	0
86	DONALD TRUMP	And it was only that I was winning by so much.	0
87	DONALD TRUMP	I was winning in landslides every week.	0
88	DONALD TRUMP	And if I weren't, I wouldn't have been able to do it, because it was dictated by the bosses.	0
89	DONALD TRUMP	But you know what, I'm happy with it.	0
90	DONALD TRUMP	It's like a boxer.	0
91	DONALD TRUMP	You have to go and you have to knock out the opponent.	0
92	DONALD TRUMP	We won so many landslide states, especially the last seven or eight, that you know, there was nothing much they could do about it.	0
93	DONALD TRUMP	But it's not a good system--	0
94	CHUCK TODD	You know, you complained about the system a lot.	0
95	CHUCK TODD	I'm curious, are you now more open to same-day voter registration, allowing independents to vote in any primary they want?	0
96	CHUCK TODD	Are you going to be somebody that's going to advocate for those positions now, to make it easier to vote, since your voters had a hard time?	0
97	DONALD TRUMP	Well, you can't expand the party that way.	0
98	DONALD TRUMP	And you know, we've done it both ways.	0
99	DONALD TRUMP	I've always done better when independents could cross over, and frankly when Democrats could cross over.	0
