title	fact
#-9-0 Phone Scam	Pressing #-9-0 on your telephone will allow scammers to make long-distance calls and charge them to  your phone bill.
#Boycott36: Do Clinton and Sanders Support Late-Term Abortions?	Bernie Sanders and Hillary Clinton both seek an abortion 'cutoff date' of 36 weeks, and both claim that late-stage fetuses feel no pain and have no rights.
$1 McDonald's Any Size Fries	McDonald’s restaurants are offering $1 Any Size Fries between May 18 and 31.
$1 Real Chicken Deal Boston Market Coupon	Boston Market is offering coupons good for a $1 chicken meal.
$10 Bill Printing Error	New U.S. $10 bills released in 2006 contain a printing error.
$100 Target Coupon on Facebook	A $100 Target coupon circulated via Facebook is real.
$2 Million Sapphire Purchased for $10	Rock purchased for $10 proves to be a valuable star sapphire.
$20 Bill Folding	A properly folded U.S. $20 bill reveals images of the September 11 terrorist attacks on the World Trade Center and the Pentagon.
$75 Bed Bath & Beyond Coupon?	Facebook users can receive a Bed Bath & Beyond coupon in exchange for sharing a post or taking a survey.
'Britain's Got Talent' Suicide	Video clip shows a Britain’s Got Talent contestant shooting himself after a harsh judging.
'Hello Barbie' Eavesdropping Doll	Mattel’s new Hello Barbie toy will record and transmit children’s conversations.
'No God But Allah' Dollars	U.S. $1 bills are being circulated with the words “NO GOD BUT ALLAH” stamped on them.
'Radioactive' Sinkhole in Philadelphia	Photograph shows a “radioactive”-looking sinkhole in Philadelphia.
'Stop the World, the Teabaggers Want Off' Is by Far the Most Accurate Page on Facebook?	snopes.com has deemed the Facebook group 'Stop the World, the Teabaggers Want Off' as the 'Most Accurate Page on Facebook.'
'The Heel in the Grate' Wedding Legend	A bridesmaid walking down the aisle at a wedding caught her spike heel in a floor grate, an usher picked up the grate to retrieve the shoe, and the bride tumbled into the open hole.
'Vampire Fungus' Affects 70 Percent of Americans?	70% of Americans are afflicted with a ‘vampire fungus’ that causes a number of chronic illnesses.
(Nearly) Frozen Waves	A series of photographs shows  frozen waves off the coast of Nantucket.
(Takes) Forever Stamps	USPS  'Forever Stamps' are considered 'second-class mail,' and items sent with those stamps are processed more slowly.
+967 233 45 SIM Cloning Warning	Your answering a call from the number 96723345 enables scammers in Pakistan and Peru to clone your cell phone’s SIM card.
1/2 Before Tsunami Photograph	“Photograph shows a tsunami 1/2 second before it struck the island of Sumatra.
1/2 Second Before Tsunami Photograph	Photograph shows a tsunami 1/2 second before it struck the island of Sumatra.
100 Facebook Shares Heart Transplant	100 Facebook “shares” will secure a heart transplant for a child.
11 States Ban the Use of Electronic Cigarettes in Vehicles?	Eleven states have banned the use of electronic cigarettes inside cars.
110-Yard Field Goal	Video clip captures NFL kicker Shaun Suisham booting a 110-yard practice field goal.
112 Murdered by Group of Teens Reenacting ‘The Purge 2’ Movie in Chicago	A group of teenagers re-enacting the plot of the film The Purge 2 in Chicago  murdered over 112 people.
15-Foot Eastern Diamondback Rattlesnake	Photographs show a 15-foot diamondback rattlesnake captured in Florida.
15-Year-Old Killed Trespassing While Playing Pokemon Go	A homeowner shot and killed a teenaged boy trespassing during a round of Pokemon Go.
16-Year Old Girl Claims Former President Bill Clinton Is Her Father	A 16-year-old Arkansas girl has filed a paternity lawsuit claiming that Bill Clinton is her father.
17 Texas Kindergarteners Contract Ebola After Exposure to Liberian Foreign Exchange Student	Seventeen kindergarteners in Wortham, Texas, tested positive for Ebola after being exposed to a Liberian exchange student.
1872 Rules for Teachers	Document issued in 1872 lists rules of behavior for public school teachers.
1875 Horseless Carriage Committee Report	An 1875 report by the Horseless Carriage Committee warned about the dangers of gasoline-fueled vehicles.
1895 Exam	An 1895 graduation examination for public school students demonstrates a shocking decline in educational standards.
1908 Pirates-Cubs Pennant Controversy	A lawsuit brought by an injured fan revealed that an umpire blew an important call in a 1908 baseball game.
1911 Poseidon Adventure	At the moment the Titanic hit an iceberg in the north Atlantic, the silent version of the film The Poseidon Adventure was being screened aboard ship.
1940 School Discipline Problems	A 1940s report on school discipline problems cited gum-chewing, littering and making noise in class as the most worrisome problems then faced by educators.
1943 Penny For a Ford Automobile	Presenting a rare 1943 copper cent to Ford entitled the bearer to a brand-new automobile.
1954 Canadian Devil’s Head Banknote	Canadian banknotes once included an image resembling a grinning devil behind Queen Elizabeth’s ear.
1956 Republican Platform	A summary of the 1956 Republican platform describes a significant divergence from the party's focus in recent decades.
1960s Dodgers	The Los Angeles Dodgers of the Koufax/Drysdale era often won 1-0 games in which Maury Wills scored the winning run.
1962 Halloween Massacre	Photograph shows a masked partygoer who killed seven people on Halloween 1962.
1962 Humble Oil ‘Melting Glaciers’ Advertisement	Humble Oil ran an advertisement back in 1962 boasting how they could melt 7 million tons of glacier every day.
1970 U.S. Quarter Struck on 1941 Canadian Quarter	A handful of 1970s quarters are worth a fortune, as they were minted on the back of a 1941 Canadian coin.
1981 2005 Coincidences	E-mail lists interesting coincidences between the years 1981 and 2005.
1992 Clinton-Gore Confederate Flag Campaign Buttons?	The 1992 Clinton-Gore presidential campaign distributed a button featuring a Confederate flag motif.
